Philippines,Jul-Dec 2006 harvest,,,,,,Jan-Jun 2007 harvest,,,,,,Jul-Dec 2011 harvest,,,,,,Jan-Jun 2012 harvest,,,,,
Information on borrowed capital,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,
,(n = 903),,(n = 697),,(n = 206),,(n = 598),,(n = 505),,(n = 93),,"(n = 1,099)",,(n = 917),,(n = 182),,(n = 902),,(n = 782),,(n = 120),
,(average),,,,,,,,,,,,,,,,,,,,,,,
,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa
Amount Borrowed (₱),10369,11788,10980,12000,8270,10925,11494,16752,12327,16788,6881,15798,17338,36508,18594,39707,11146,11559,16172,20522,17057,21520,10403,10512
Loan Period (number of months),4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1
Monthly interest rate (percent),8,3,8,3,8,3,8,4,8,4,9,4,5,5,4,4,6,6,5,5,5,5,6,5
Ilocos Norte,Jul-Dec 2006 harvest,,,,,,Jan-Jun 2007 harvest,,,,,,Jul-Dec 2011 harvest,,,,,,Jan-Jun 2012 harvest,,,,,
Information on borrowed capital,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,
,(n = 7),,(n = 5),,(n = 2),,(n = 4),,(n = 4),,(n = 0),,(n = 14),,(n = 13),,(n = 1),,(n = 3),,(n = 3),,(n = 0),
,(average),,,,,,,,,,,,,,,,,,,,,,,
,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa
Amount Borrowed (₱),4264,3061,3480,2058,6225,5339,4500,3109,4500,3109,0,0,7128,9968,7484,10282,2500,0,3000,1000,3000,1000,0,0
Loan Period (number of months),5,2,4,1,7,4,4,1,4,1,0,0,5,2,5,2,6,0,3,1,3,1,0,0
Monthly interest rate (percent),9,5,11,2,2,0,9,6,9,6,0,0,2,2,2,2,0,0,12,3,12,3,0,0
Pangasinan,Jul-Dec 2006 harvest,,,,,,Jan-Jun 2007 harvest,,,,,,Jul-Dec 2011 harvest,,,,,,Jan-Jun 2012 harvest,,,,,
Information on borrowed capital,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,
,(n = 54),,(n = 45),,(n = 9),,(n = 19),,(n = 19),,(n = 0),,(n = 66),,(n = 62),,(n = 4),,(n = 42),,(n = 42),,(n = 0),
,(average),,,,,,,,,,,,,,,,,,,,,,,
,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa
Amount Borrowed (₱),8412,8550,9246,9091,4244,2490,7000,7824,7000,7824,0,0,9483,5629,9740,5667,5500,3317,9567,7477,9567,7477,0,0
Loan Period (number of months),4,1,4,1,4,1,4,1,4,1,0,0,4,1,4,1,4,0,4,1,4,1,0,0
Monthly interest rate (percent),8,3,8,3,9,4,6,3,6,3,0,0,3,7,4,7,1,1,7,6,7,6,0,0
Cagayan,Jul-Dec 2006 harvest,,,,,,Jan-Jun 2007 harvest,,,,,,Jul-Dec 2011 harvest,,,,,,Jan-Jun 2012 harvest,,,,,
Information on borrowed capital,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,
,(n = 62),,(n = 50),,(n = 12),,(n = 53),,(n = 40),,(n = 13),,(n = 65),,(n = 51),,(n = 14),,(n = 63),,(n = 50),,(n = 13),
,(average),,,,,,,,,,,,,,,,,,,,,,,
,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa
Amount Borrowed (₱),9060,7966,9975,8485,5248,3388,11296,13056,13304,14299,5117,4406,15383,23162,17406,25644,8014,6114,17118,37634,18499,41996,11808,8807
Loan Period (number of months),4,0,4,0,4,0,4,0,4,0,4,0,4,1,4,1,4,1,4,0,4,0,4,0
Monthly interest rate (percent),6,2,6,2,6,2,6,2,5,2,7,3,4,2,4,2,4,3,5,3,5,3,4,2
Isabela,Jul-Dec 2006 harvest,,,,,,Jan-Jun 2007 harvest,,,,,,Jul-Dec 2011 harvest,,,,,,Jan-Jun 2012 harvest,,,,,
Information on borrowed capital,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,
,(n = 57),,(n = 50),,(n = 7),,(n = 52),,(n = 46),,(n = 6),,(n = 68),,(n = 59),,(n = 9),,(n = 58),,(n = 51),,(n = 7),
,(average),,,,,,,,,,,,,,,,,,,,,,,
,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa
Amount Borrowed (₱),14851,15624,16310,16153,4429,1694,16997,28326,18747,29690,3583,2538,20990,20176,22226,20461,12889,16996,19983,21125,21520,21848,8786,9755
Loan Period (number of months),4,1,4,1,5,1,4,1,4,1,4,0,5,1,4,1,5,1,4,1,4,1,4,0
Monthly interest rate (percent),7,2,7,2,6,2,7,2,7,2,9,3,5,3,5,3,6,2,6,4,6,4,7,2
Aurora,Jul-Dec 2006 harvest,,,,,,Jan-Jun 2007 harvest,,,,,,Jul-Dec 2011 harvest,,,,,,Jan-Jun 2012 harvest,,,,,
Information on borrowed capital,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,
,(n = 19),,(n = 18),,(n = 1),,(n = 10),,(n = 10),,(n = 0),,(n = 31),,(n = 29),,(n = 2),,(n = 39),,(n = 38),,(n = 1),
,(average),,,,,,,,,,,,,,,,,,,,,,,
,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa
Amount Borrowed (₱),9632,4478,9611,4607,10000,0,6100,2132,6100,2132,0,0,22261,27725,22072,28657,25000,7071,14845,15055,14841,15257,15000,0
Loan Period (number of months),3,0,3,0,3,0,4,0,4,0,0,0,4,1,3,1,5,2,4,1,4,1,3,0
Monthly interest rate (percent),10,0,10,0,10,0,10,0,10,0,0,0,3,3,3,3,1,0,3,2,3,2,3,0
Bulacan,Jul-Dec 2006 harvest,,,,,,Jan-Jun 2007 harvest,,,,,,Jul-Dec 2011 harvest,,,,,,Jan-Jun 2012 harvest,,,,,
Information on borrowed capital,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,
,(n = 32),,(n = 17),,(n = 15),,(n = 12),,(n = 12),,(n = 0),,(n = 34),,(n = 20),,(n = 14),,(n = 15),,(n = 15),,(n = 0),
,(average),,,,,,,,,,,,,,,,,,,,,,,
,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa
Amount Borrowed (₱),18459,19317,13941,12054,23811,25110,20200,16560,20200,16560,0,0,17153,10569,16460,11932,18143,8583,27593,35785,27593,35785,0,0
Loan Period (number of months),4,2,4,2,4,1,4,1,4,1,0,0,5,4,5,5,5,1,5,5,5,5,0,0
Monthly interest rate (percent),6,3,7,3,6,2,9,7,9,7,0,0,2,2,2,3,2,2,2,3,2,3,0,0
Nueva Ecija,Jul-Dec 2006 harvest,,,,,,Jan-Jun 2007 harvest,,,,,,Jul-Dec 2011 harvest,,,,,,Jan-Jun 2012 harvest,,,,,
Information on borrowed capital,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,
,(n = 77),,(n = 68),,(n = 9),,(n = 60),,(n = 59),,(n = 1),,(n = 106),,(n = 100),,(n = 6),,(n = 82),,(n = 82),,(n = 0),
,(average),,,,,,,,,,,,,,,,,,,,,,,
,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa
Amount Borrowed (₱),15474,13391,16956,13690,4889,2804,24850,28066,25051,28264,13000,0,32109,97310,33626,100007,6833,3920,27341,24723,27341,24723,0,0
Loan Period (number of months),4,1,4,1,4,0,4,1,4,1,0,0,4,1,4,1,3,1,4,1,4,1,0,0
Monthly interest rate (percent),7,2,7,2,8,2,8,3,8,3,0,0,3,3,3,3,3,4,4,3,4,3,0,0
Pampanga,Jul-Dec 2006 harvest,,,,,,Jan-Jun 2007 harvest,,,,,,Jul-Dec 2011 harvest,,,,,,Jan-Jun 2012 harvest,,,,,
Information on borrowed capital,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,
,(n = 20),,(n = 16),,(n = 4),,(n = 22),,(n = 22),,(n = 0),,(n = 27),,(n = 27),,(n = 0),,(n = 25),,(n = 25),,(n = 0),
,(average),,,,,,,,,,,,,,,,,,,,,,,
,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa
Amount Borrowed (₱),19350,14009,18188,14784,24000,10677,14818,16561,14818,16561,0,0,25161,17881,26111,18795,0,0,32200,24541,32200,24541,0,0
Loan Period (number of months),4,1,4,1,4,1,3,1,3,1,0,0,4,1,3,1,0,0,4,1,4,1,0,0
Monthly interest rate (percent),6,2,6,2,8,3,5,2,5,2,0,0,2,1,2,1,0,0,3,2,3,2,0,0
Tarlac,Jul-Dec 2006 harvest,,,,,,Jan-Jun 2007 harvest,,,,,,Jul-Dec 2011 harvest,,,,,,Jan-Jun 2012 harvest,,,,,
Information on borrowed capital,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,
,(n = 51),,(n = 40),,(n = 11),,(n = 18),,(n = 18),,(n = 0),,(n = 50),,(n = 45),,(n = 5),,(n = 20),,(n = 20),,(n = 0),
,(average),,,,,,,,,,,,,,,,,,,,,,,
,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa
Amount Borrowed (₱),9069,11342,10500,12434,3864,1485,8250,6417,8250,6417,0,0,13800,12654,14200,13221,10200,4550,16250,12798,16250,12798,0,0
Loan Period (number of months),4,1,4,1,4,0,4,1,4,1,0,0,4,2,4,2,4,0,4,2,4,2,0,0
Monthly interest rate (percent),7,3,6,2,10,3,10,3,10,3,0,0,3,2,3,2,2,2,5,4,5,4,0,0
Laguna,Jul-Dec 2006 harvest,,,,,,Jan-Jun 2007 harvest,,,,,,Jul-Dec 2011 harvest,,,,,,Jan-Jun 2012 harvest,,,,,
Information on borrowed capital,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,
,(n = 18),,(n = 15),,(n = 3),,(n = 11),,(n = 10),,(n = 1),,(n = 16),,(n = 16),,(n = 0),,(n = 16),,(n = 16),,(n = 0),
,(average),,,,,,,,,,,,,,,,,,,,,,,
,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa
Amount Borrowed (₱),15139,15993,17400,16654,3833,1607,18209,14055,19530,14077,5000,0,30969,49173,30969,49173,0,0,31938,49770,31938,49770,0,0
Loan Period (number of months),5,2,5,3,4,1,4,1,4,1,4,0,4,1,4,1,0,0,4,1,4,1,0,0
Monthly interest rate (percent),4,2,4,3,5,2,5,3,5,2,10,0,1,2,1,2,0,0,2,3,2,3,0,0
Quezon,Jul-Dec 2006 harvest,,,,,,Jan-Jun 2007 harvest,,,,,,Jul-Dec 2011 harvest,,,,,,Jan-Jun 2012 harvest,,,,,
Information on borrowed capital,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,
,(n = 12),,(n = 12),,(n = 0),,(n = 4),,(n = 2),,(n = 2),,(n = 10),,(n = 8),,(n = 2),,(n = 6),,(n = 5),,(n = 1),
,(average),,,,,,,,,,,,,,,,,,,,,,,
,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa
Amount Borrowed (₱),3563,2086,3563,2086,0,0,10750,12868,17500,17678,4000,1414,7928,6412,7659,6494,9000,8485,7901,9160,5481,7807,20000,0
Loan Period (number of months),4,3,4,3,0,0,3,1,4,1,3,0,3,1,3,1,3,1,4,1,3,1,4,0
Monthly interest rate (percent),8,3,8,3,0,0,7,3,5,0,10,0,2,4,2,4,2,3,2,1,2,1,2,0
Occidental Mindoro,Jul-Dec 2006 harvest,,,,,,Jan-Jun 2007 harvest,,,,,,Jul-Dec 2011 harvest,,,,,,Jan-Jun 2012 harvest,,,,,
Information on borrowed capital,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,
,(n = 38),,(n = 23),,(n = 15),,(n = 17),,(n = 17),,(n = 0),,(n = 31),,(n = 27),,(n = 4),,(n = 23),,(n = 23),,(n = 0),
,(average),,,,,,,,,,,,,,,,,,,,,,,
,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa
Amount Borrowed (₱),11513,14700,8978,10658,15400,19127,10971,12758,10971,12758,0,0,19790,13989,20870,14613,12500,5000,18326,15478,18326,15478,0,0
Loan Period (number of months),4,1,4,1,5,2,3,0,3,0,0,0,4,2,4,2,4,1,4,1,4,1,0,0
Monthly interest rate (percent),7,3,7,3,7,2,12,8,12,8,0,0,5,5,5,5,3,3,6,5,6,5,0,0
Oriental Mindoro,Jul-Dec 2006 harvest,,,,,,Jan-Jun 2007 harvest,,,,,,Jul-Dec 2011 harvest,,,,,,Jan-Jun 2012 harvest,,,,,
Information on borrowed capital,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,
,(n = 58),,(n = 47),,(n = 11),,(n = 48),,(n = 46),,(n = 2),,(n = 55),,(n = 51),,(n = 4),,(n = 51),,(n = 43),,(n = 8),
,(average),,,,,,,,,,,,,,,,,,,,,,,
,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa
Amount Borrowed (₱),9510,15372,10326,16864,6023,4711,7624,10080,7825,10252,3000,1414,15517,17729,16205,18211,3750,1500,13598,14078,14721,14957,7563,4895
Loan Period (number of months),3,1,3,1,3,0,3,0,3,0,3,0,4,1,4,1,4,1,4,0,4,0,4,0
Monthly interest rate (percent),7,2,7,2,6,3,5,3,6,3,5,0,4,2,4,2,3,2,3,2,3,2,3,2
Albay,Jul-Dec 2006 harvest,,,,,,Jan-Jun 2007 harvest,,,,,,Jul-Dec 2011 harvest,,,,,,Jan-Jun 2012 harvest,,,,,
Information on borrowed capital,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,
,(n = 11),,(n = 3),,(n = 8),,(n = 8),,(n = 2),,(n = 6),,(n = 6),,(n = 6),,(n = 0),,(n = 7),,(n = 7),,(n = 0),
,(average),,,,,,,,,,,,,,,,,,,,,,,
,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa
Amount Borrowed (₱),2636,2157,5333,2517,1625,744,3531,1352,4500,707,3208,1400,6150,3613,6150,3613,0,0,7829,11503,7829,11503,0,0
Loan Period (number of months),4,0,3,1,4,0,4,0,4,0,4,0,4,1,4,1,0,0,3,0,3,0,0,0
Monthly interest rate (percent),9,2,8,2,9,2,8,2,0,0,8,2,3,2,3,2,0,0,3,2,3,2,0,0
Camarines Sur,Jul-Dec 2006 harvest,,,,,,Jan-Jun 2007 harvest,,,,,,Jul-Dec 2011 harvest,,,,,,Jan-Jun 2012 harvest,,,,,
Information on borrowed capital,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,
,(n = 36),,(n = 28),,(n = 8),,(n = 18),,(n = 15),,(n = 3),,(n = 35),,(n = 28),,(n = 7),,(n = 47),,(n = 32),,(n = 15),
,(average),,,,,,,,,,,,,,,,,,,,,,,
,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa
Amount Borrowed (₱),5480,4481,5742,4550,4250,4528,7444,9026,8267,9693,3333,2082,9192,9049,10111,10080,5686,1351,8330,8537,9531,10000,5767,2770
Loan Period (number of months),3,1,3,2,3,0,4,2,4,2,4,1,4,1,4,1,4,1,4,1,4,1,4,0
Monthly interest rate (percent),11,3,10,4,12,2,10,4,10,5,9,2,6,6,6,6,8,6,6,6,6,6,5,5
Iloilo,Jul-Dec 2006 harvest,,,,,,Jan-Jun 2007 harvest,,,,,,Jul-Dec 2011 harvest,,,,,,Jan-Jun 2012 harvest,,,,,
Information on borrowed capital,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,
,(n = 27),,(n = 9),,(n = 18),,(n = 13),,(n = 3),,(n = 10),,(n = 41),,(n = 18),,(n = 23),,(n = 20),,(n = 13),,(n = 7),
,(average),,,,,,,,,,,,,,,,,,,,,,,
,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa
Amount Borrowed (₱),5446,4221,3394,1376,6472,4797,3492,2883,3333,577,3540,3316,8217,6490,9844,7192,6943,5722,9000,8393,10192,8726,6786,7873
Loan Period (number of months),4,2,4,2,3,1,3,1,4,1,3,0,4,1,4,1,4,1,3,1,3,1,4,1
