Philippines,Jul-Dec 2006 harvest,,,Jan-Jun 2007 harvest,,,Jul-Dec 2011 harvest,,,Jan-Jun 2012 harvest,,
Methomyl,--,--,--,--,--,--,2.53,2.33,2.78,--,--,--
Molluscicides,,,,,,,,,,,,
Niclosamide ethanolamine salt,10.71,18.52,3.45,50,50,--,--,--,--,27.03,27.03,--
Niclosamide,8.93,3.7,13.79,13.64,13.64,--,--,--,--,18.92,18.92,--
Metaldehyde,1.79,--,3.45,18.18,18.18,--,--,--,--,24.32,24.32,--
Rodenticides,,,,,,,,,,,,
Zinc phosphide,1.79,3.7,--,18.18,18.18,--,1.27,2.33,--,--,--,--
Coumatetralyl,5.36,3.7,6.9,4.55,4.55,--,2.53,4.65,--,--,--,--
Fungicide,,,,,,,,,,,,
Copper hydroxide,3.57,3.7,3.45,--,--,--,2.53,4.65,--,5.41,5.41,--
Thiophanate methyl,7.14,7.41,6.9,--,--,--,--,--,--,--,--,--
Mancozeb,1.79,--,3.45,--,--,--,3.8,6.98,--,--,--,--
Copper oxide,--,--,--,--,--,--,3.8,6.98,--,--,--,--
Herbicides,,,,,,,,,,,,
Bispyribac sodium,--,--,--,--,--,--,32.91,37.21,27.78,16.22,16.22,--
Pretilachlor,--,--,--,--,--,--,13.92,20.93,5.56,29.73,29.73,--
"2,4-D IBE",--,--,--,--,--,--,18.99,9.3,30.56,8.11,8.11,--
Butachlor,--,--,--,--,--,--,15.19,4.65,27.78,8.11,8.11,--
Cyhalofop butyl,--,--,--,--,--,--,8.86,16.28,--,16.22,16.22,--
Bensulfuron methyl,--,--,--,--,--,--,8.86,9.3,8.33,13.51,13.51,--
Pyribenzoxim,--,--,--,--,--,--,6.33,2.33,11.11,2.7,2.7,--
Butachlor + propanil,--,--,--,--,--,--,2.53,--,5.56,5.41,5.41,--
Glyphosate IPA,--,--,--,--,--,--,2.53,4.65,--,2.7,2.7,--
Metsulfuron methyl +,--,--,--,--,--,--,3.8,6.98,--,--,--,--
MCPA,--,--,--,--,--,--,1.27,2.33,--,2.7,2.7,--
"Thiobencarb + 2,4-D Ibe",--,--,--,--,--,--,2.53,4.65,--,--,--,--
Fenoxaprop p-ethyl,--,--,--,--,--,--,2.53,4.65,--,--,--,--
Nueva Ecija,Jul-Dec 2006 harvest,,,Jan-Jun 2007 harvest,,,Jul-Dec 2011 harvest,,,Jan-Jun 2012 harvest,,
Active Ingredients*,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED
,(n = 91),(n = 81),(n = 10),(n = 75),(n = 74),(n = 1),(n = 149),(n = 142),(n = 7),(n = 120),(n = 120),(n = 0)
,(Percent of farmers),,,,,,,,,,,
Herbicides,,,,,,,,,,,,
Bispyribac sodium,--,--,--,--,--,--,28.86,26.76,71.43,20.83,20.83,--
Butachlor + propanil,--,--,--,--,--,--,20.81,21.13,14.29,27.5,27.5,--
Butachlor,--,--,--,--,--,--,17.45,17.61,14.29,16.67,16.67,--
MCPA,--,--,--,--,--,--,10.74,9.15,42.86,6.67,6.67,--
"2,4-D IBE",--,--,--,--,--,--,13.42,13.38,14.29,13.33,13.33,--
Cyhalofop butyl,--,--,--,--,--,--,6.71,6.34,14.29,--,--,--
Pyribenzoxim,--,--,--,--,--,--,2.01,2.11,--,7.5,7.5,--
Fenoxaprop p-ethyl,--,--,--,--,--,--,2.68,2.82,--,2.5,2.5,--
Glyphosate IPA,1.1,1.23,--,--,--,--,3.36,3.52,--,--,--,--
Butachlor + safener,--,--,--,--,--,--,--,--,--,4.17,4.17,--
Pretilachlor,--,--,--,--,--,--,1.34,1.41,--,1.67,1.67,--
"Butachlor + 2,4-D IBE",--,--,--,--,--,--,1.34,1.41,--,1.67,1.67,--
Insecticides,,,,,,,,,,,,
Cypermethrin,34.07,35.8,20,26.67,27.03,--,41.61,42.96,14.29,38.33,38.33,--
Chlorpyrifos + BPMC,18.68,18.52,20,21.33,21.62,--,30.87,30.99,28.57,25,25,--
Betacypermethrin,15.38,16.05,10,8,8.11,--,10.74,11.27,--,11.67,11.67,--
MIPC,3.3,2.47,10,9.33,9.46,--,8.72,9.15,--,11.67,11.67,--
Isoprocarb,4.4,3.7,10,2.67,2.7,--,2.68,2.82,--,6.67,6.67,--
Lambdacyhalothrin,2.2,2.47,--,5.33,5.41,--,11.41,11.97,--,1.67,1.67,--
Chlorpyrifos,4.4,3.7,10,6.67,6.76,--,--,--,--,2.5,2.5,--
Betacyfluthrin,3.3,3.7,--,5.33,5.41,--,2.68,2.82,--,4.17,4.17,--
Chlorantrailiprole,--,--,--,--,--,--,4.03,3.52,14.29,1.67,1.67,--
Carbofuran,1.1,1.23,--,6.67,6.76,--,2.68,2.82,--,1.67,1.67,--
Methomyl,1.1,1.23,--,--,--,--,0.67,--,14.29,1.67,1.67,--
Carbosulfan,--,--,--,--,--,--,1.34,0.7,14.29,--,--,--
Profenofos,2.2,1.23,10,--,--,--,1.34,1.41,--,--,--,--
Cartap hydrochloride,--,--,--,6.67,6.76,--,--,--,--,--,--,--
Triazophos,1.1,--,10,--,--,--,0.67,0.7,--,--,--,--
Thiamethoxam,--,--,--,--,--,--,2.68,2.82,--,1.67,1.67,--
Malathion,--,--,--,1.33,1.35,--,2.01,2.11,--,0.83,0.83,--
Deltamethrin,3.3,3.7,--,--,--,--,0.67,0.7,--,--,--,--
Esfenvalerate,--,--,--,1.33,1.35,--,--,--,--,1.67,1.67,--
Molluscicides,,,,,,,,,,,,
Metaldehyde,18.68,18.52,20,48,48.65,--,--,--,--,31.67,31.67,--
Niclosamide ethanolamine salt,12.09,12.35,10,22.67,22.97,--,--,--,--,32.5,32.5,--
Niclosamide,9.89,11.11,--,6.67,6.76,--,--,--,--,19.17,19.17,--
Rodenticides,,,,,,,,,,,,
Zinc phosphide,17.58,19.75,--,10.67,10.81,--,3.36,3.52,--,21.67,21.67,--
Coumatetralyl,2.2,2.47,--,2.67,2.7,--,3.36,3.52,--,--,--,--
Fungicide,,,,,,,,,,,,
Difenoconazole + propiconazole,--,--,--,--,--,--,4.7,4.23,14.29,8.33,8.33,--
Mancozeb,5.49,6.17,--,1.33,1.35,--,1.34,0.7,14.29,1.67,1.67,--
Copper hydroxide,1.1,1.23,--,--,--,--,2.01,1.41,14.29,--,--,--
Pampanga,Jul-Dec 2006 harvest,,,Jan-Jun 2007 harvest,,,Jul-Dec 2011 harvest,,,Jan-Jun 2012 harvest,,
Active Ingredients*,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED
,(n = 43),(n = 38),(n = 5),(n = 30),(n = 30),(n = 0),(n = 49),(n = 49),(n = 0),(n = 43),(n = 43),(n = 0)
,(Percent of farmers),,,,,,,,,,,
Insecticides,,,,,,,,,,,,
Cypermethrin,41.86,42.11,40,30,30,--,24.49,24.49,--,18.6,18.6,--
Lambdacyhalothrin,32.56,31.58,40,36.67,36.67,--,28.57,28.57,--,4.65,4.65,--
Chlorpyrifos + BPMC,16.28,18.42,--,6.67,6.67,--,38.78,38.78,--,37.21,37.21,--
Carbofuran,4.65,5.26,--,13.33,13.33,--,4.08,4.08,--,9.3,9.3,--
Carbaryl,2.33,--,20,--,--,--,--,--,--,--,--,--
Chlorpyrifos,2.33,2.63,--,3.33,3.33,--,--,--,--,--,--,--
Isoprocarb,--,--,--,3.33,3.33,--,--,--,--,--,--,--
Molluscicides,,,,,,,,,,,,
Niclosamide ethanolamine salt,--,--,--,--,--,--,--,--,--,13.95,13.95,--
Methyldehyde + niclosamide,6.98,7.89,--,--,--,--,--,--,--,--,--,--
Niclosamide,--,--,--,--,--,--,--,--,--,6.98,6.98,--
Metaldehyde,--,--,--,6.67,6.67,--,--,--,--,--,--,--
Rodenticides,,,,,,,,,,,,
Coumatetralyl,--,--,--,10,10,--,--,--,--,--,--,--
Zinc phosphide,--,--,--,3.33,3.33,--,--,--,--,2.33,2.33,--
Fungicide,,,,,,,,,,,,
Mancozeb,--,--,--,3.33,3.33,--,16.33,16.33,--,16.28,16.28,--
Copper hydroxide,--,--,--,--,--,--,14.29,14.29,--,6.98,6.98,--
Thiophanate methyl,--,--,--,--,--,--,14.29,14.29,--,--,--,--
Difenoconazole + propiconazole,--,--,--,--,--,--,8.16,8.16,--,2.33,2.33,--
Herbicides,,,,,,,,,,,,
"2,4-D IBE",--,--,--,--,--,--,36.73,36.73,--,30.23,30.23,--
Bispyribac sodium,--,--,--,--,--,--,36.73,36.73,--,16.28,16.28,--
Pretilachlor,--,--,--,--,--,--,4.08,4.08,--,13.95,13.95,--
Butachlor,--,--,--,--,--,--,8.16,8.16,--,9.3,9.3,--
Cyhalofop butyl,--,--,--,--,--,--,10.2,10.2,--,6.98,6.98,--
Glyphosate IPA,--,--,--,--,--,--,2.04,2.04,--,13.95,13.95,--
Butachlor + propanil,--,--,--,--,--,--,10.2,10.2,--,2.33,2.33,--
Fenoxaprop p-ethyl,--,--,--,--,--,--,2.04,2.04,--,2.33,2.33,--
Tarlac,Jul-Dec 2006 harvest,,,Jan-Jun 2007 harvest,,,Jul-Dec 2011 harvest,,,Jan-Jun 2012 harvest,,
Active Ingredients*,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED
,(n = 48),(n = 44),(n = 4),(n = 30),(n = 30),(n = 0),(n = 79),(n = 72),(n = 7),(n = 42),(n = 42),(n = 0)
,(Percent of farmers),,,,,,,,,,,
Insecticides,,,,,,,,,,,,
Cypermethrin,43.75,43.18,50,56.67,56.67,--,44.3,47.22,14.29,42.86,42.86,--
Chlorpyrifos + BPMC,12.5,11.36,25,26.67,26.67,--,30.38,30.56,28.57,7.14,7.14,--
Betacypermethrin,8.33,6.82,25,16.67,16.67,--,7.59,8.33,--,9.52,9.52,--
Betacyfluthrin,10.42,11.36,--,16.67,16.67,--,1.27,1.39,--,--,--,--
Lambdacyhalothrin,2.08,2.27,--,--,--,--,10.13,8.33,28.57,2.38,2.38,--
Imazalil,22.92,25,--,--,--,--,--,--,--,--,--,--
Chlorpyrifos,2.08,2.27,--,--,--,--,--,--,--,2.38,2.38,--
Malathion,2.08,2.27,--,--,--,--,1.27,1.39,--,--,--,--
Deltamethrin,2.08,2.27,--,--,--,--,1.27,1.39,--,--,--,--
Molluscicides,,,,,,,,,,,,
Niclosamide ethanolamine salt,--,--,--,--,--,--,--,--,--,14.29,14.29,--
Metaldehyde,2.08,2.27,--,--,--,--,--,--,--,4.76,4.76,--
Rodenticides,,,,,,,,,,,,
Zinc phosphide,--,--,--,--,--,--,2.53,2.78,--,11.9,11.9,--
Coumatetralyl,--,--,--,3.33,3.33,--,--,--,--,--,--,--
Herbicides,,,,,,,,,,,,
Butachlor,--,--,--,--,--,--,12.66,12.5,14.29,30.95,30.95,--
Pretilachlor,--,--,--,--,--,--,12.66,11.11,28.57,11.9,11.9,--
"2,4-D IBE",--,--,--,--,--,--,16.46,18.06,--,16.67,16.67,--
Fenoxaprop p-ethyl,--,--,--,--,--,--,8.86,6.94,28.57,2.38,2.38,--
Butachlor + propanil,--,--,--,--,--,--,7.59,8.33,--,7.14,7.14,--
Pyribenzoxim,--,--,--,--,--,--,2.53,2.78,--,9.52,9.52,--
Bispyribac sodium,--,--,--,--,--,--,--,--,--,7.14,7.14,--
Sethoxydim,--,--,--,--,--,--,1.27,1.39,--,2.38,2.38,--
Fungicide,,,,,,,,,,,,
Thiodiazole copper,--,--,--,--,--,--,2.53,1.39,14.29,--,--,--
Copper hydroxide,--,--,--,--,--,--,3.8,4.17,--,4.76,4.76,--
Mancozeb,--,--,--,--,--,--,5.06,5.56,--,--,--,--
Laguna,Jul-Dec 2006 harvest,,,Jan-Jun 2007 harvest,,,Jul-Dec 2011 harvest,,,Jan-Jun 2012 harvest,,
Active Ingredients*,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED
,(n = 51),(n = 35),(n = 16),(n = 41),(n = 32),(n = 9),(n = 55),(n = 55),(n = 0),(n = 54),(n = 53),(n = 1)
,(Percent of farmers),,,,,,,,,,,
Insecticides,,,,,,,,,,,,
Cypermethrin,7.84,5.71,12.5,19.51,12.5,44.44,34.55,34.55,--,31.48,30.19,100
Chlorpyrifos + BPMC,23.53,17.14,37.5,26.83,18.75,55.56,18.18,18.18,--,16.67,16.98,--
Lambdacyhalothrin,21.57,8.57,50,17.07,12.5,33.33,32.73,32.73,--,3.7,3.77,--
Deltamethrin,17.65,25.71,--,19.51,25,--,16.36,16.36,--,18.52,18.87,--
Imazalil,23.53,31.43,6.25,--,--,--,--,--,--,--,--,--
Carbofuran,1.96,2.86,--,2.44,3.13,--,7.27,7.27,--,11.11,11.32,--
Chlorpyrifos,--,--,--,--,--,--,--,--,--,11.11,11.32,--
Betacypermethrin,1.96,2.86,--,2.44,3.13,--,1.82,1.82,--,--,--,--
Malathion,--,--,--,4.88,6.25,--,--,--,--,--,--,--
Molluscicides,,,,,,,,,,,,
Niclosamide ethanolamine salt,--,--,--,26.83,34.38,--,--,--,--,18.52,16.98,100
Niclosamide,21.57,20,25,--,--,--,--,--,--,40.74,41.51,--
Metaldehyde,5.88,8.57,--,12.2,15.63,--,--,--,--,12.96,13.21,--
Imazalil,7.84,2.86,18.75,--,--,--,--,--,--,--,--,--
Rodenticides,,,,,,,,,,,,
Coumatetralyl,7.84,8.57,6.25,19.51,25,--,12.73,12.73,--,9.26,9.43,--
Zinc phosphide,3.92,5.71,--,2.44,3.13,--,--,--,--,--,--,--
Fungicide,,,,,,,,,,,,
Chlorothalonil,5.88,8.57,--,--,--,--,--,--,--,--,--,--
Imazalil,1.96,--,6.25,--,--,--,--,--,--,--,--,--
Tebuconazole,--,--,--,--,--,--,1.82,1.82,--,1.85,1.89,--
Herbicides,,,,,,,,,,,,
Butachlor,--,--,--,--,--,--,23.64,23.64,--,24.07,22.64,100
"Butachlor + 2,4-D IBE",--,--,--,--,--,--,30.91,30.91,--,33.33,33.96,--
"2,4-D IBE",--,--,--,--,--,--,14.55,14.55,--,12.96,13.21,--
Metsulfuron methyl +,--,--,--,--,--,--,--,--,--,3.7,3.77,--
Quezon,Jul-Dec 2006 harvest,,,Jan-Jun 2007 harvest,,,Jul-Dec 2011 harvest,,,Jan-Jun 2012 harvest,,
Active Ingredients*,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED
,(n = 40),(n = 31),(n = 9),(n = 32),(n = 17),(n = 15),(n = 48),(n = 27),(n = 21),(n = 54),(n = 27),(n = 27)
,(Percent of farmers),,,,,,,,,,,
Herbicides,,,,,,,,,,,,
Butachlor,--,--,--,--,--,--,29.17,33.33,23.81,27.78,18.52,37.04
"2,4-D IBE",--,--,--,--,--,--,20.83,14.81,28.57,24.07,7.41,40.74
Butachlor + propanil,--,--,--,--,--,--,14.58,25.93,--,11.11,14.81,7.41
Pyribenzoxim,--,--,--,--,--,--,4.17,3.7,4.76,1.85,3.7,--
Diuron,--,--,--,--,--,--,2.08,3.7,--,1.85,3.7,--
Insecticides,,,,,,,,,,,,
Lambdacyhalothrin,20,22.58,11.11,21.88,11.76,33.33,35.42,33.33,38.1,7.41,7.41,7.41
Cypermethrin,17.5,6.45,55.56,6.25,5.88,6.67,14.58,14.81,14.29,11.11,11.11,11.11
Deltamethrin,12.5,16.13,--,28.13,41.18,13.33,16.67,25.93,4.76,3.7,3.7,3.7
Chlorpyrifos + BPMC,15,19.35,--,9.38,--,20,14.58,22.22,4.76,11.11,11.11,11.11
Malathion,2.5,--,11.11,3.13,--,6.67,--,--,--,3.7,--,7.41
Imazalil,10,9.68,11.11,--,--,--,--,--,--,--,--,--
MIPC,5,3.23,11.11,--,--,--,--,--,--,1.85,3.7,--
Carbofuran,--,--,--,6.25,5.88,6.67,--,--,--,1.85,3.7,--
Isopropyl alcohol,--,--,--,--,--,--,2.08,3.7,--,1.85,3.7,--
Chlorpyrifos,--,--,--,--,--,--,--,--,--,3.7,3.7,3.7
Endosulfan,--,--,--,3.13,--,6.67,--,--,--,--,--,--
Ethofenprox,--,--,--,3.13,--,6.67,--,--,--,--,--,--
Avermectin,--,--,--,3.13,5.88,--,--,--,--,--,--,--
Pymetrozine,--,--,--,--,--,--,2.08,--,4.76,--,--,--
Cartap hydrochloride,--,--,--,--,--,--,2.08,--,4.76,--,--,--
Molluscicides,,,,,,,,,,,,
Metaldehyde,15,16.13,11.11,34.38,52.94,13.33,--,--,--,40.74,51.85,29.63
Niclosamide,12.5,16.13,--,--,--,--,--,--,--,18.52,11.11,25.93
Niclosamide ethanolamine salt,5,6.45,--,9.38,5.88,13.33,--,--,--,1.85,--,3.7
Imazalil,5,6.45,--,--,--,--,--,--,--,--,--,--
Rodenticides,,,,,,,,,,,,
Zinc phosphide,7.5,9.68,--,18.75,23.53,13.33,8.33,11.11,4.76,27.78,33.33,22.22
Coumatetralyl,--,--,--,--,--,--,18.75,33.33,--,5.56,11.11,--
Warfarin,--,--,--,3.13,--,6.67,--,--,--,1.85,3.7,--
Fungicide,,,,,,,,,,,,
Chlorothalonil,--,--,--,3.13,5.88,--,--,--,--,--,--,--
Azoxystrobin,--,--,--,3.13,5.88,--,--,--,--,--,--,--
Iprovalicarb + propineb,--,--,--,3.13,5.88,--,--,--,--,--,--,--
Occidental Mindoro,Jul-Dec 2006 harvest,,,Jan-Jun 2007 harvest,,,Jul-Dec 2011 harvest,,,Jan-Jun 2012 harvest,,
Active Ingredients*,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED
,(n = 51),(n = 26),(n = 25),(n = 22),(n = 21),(n = 1),(n = 60),(n = 43),(n = 17),(n = 33),(n = 33),(n = 0)
,(Percent of farmers),,,,,,,,,,,
Insecticides,,,,,,,,,,,,
Cypermethrin,47.06,50,44,90.91,95.24,--,63.33,62.79,64.71,93.94,93.94,--
Chlorpyrifos + BPMC,17.65,23.08,12,9.09,9.52,--,33.33,37.21,23.53,12.12,12.12,--
Phentoate + BPMC,11.76,--,24,--,--,--,11.67,11.63,11.76,6.06,6.06,--
Deltamethrin,7.84,3.85,12,9.09,9.52,--,3.33,4.65,--,3.03,3.03,--
Chlorpyrifos,7.84,7.69,8,--,--,--,--,--,--,3.03,3.03,--
Lambdacyhalothrin,3.92,3.85,4,--,--,--,1.67,2.33,--,6.06,6.06,--
BPMC,3.92,3.85,4,--,--,--,5,4.65,5.88,--,--,--
MIPC,1.96,3.85,--,--,--,--,1.67,2.33,--,3.03,3.03,--
Imazalil,3.92,3.85,4,--,--,--,--,--,--,--,--,--
Cartap hydrochloride,--,--,--,--,--,--,--,--,--,3.03,3.03,--
Molluscicides,,,,,,,,,,,,
Niclosamide,39.22,57.69,20,31.82,33.33,--,--,--,--,66.67,66.67,--
Metaldehyde,--,--,--,4.55,--,100,--,--,--,3.03,3.03,--
Niclosamide ethanolamine salt,--,--,--,40.91,42.86,--,--,--,--,6.06,6.06,--
Imazalil,3.92,7.69,--,--,--,--,--,--,--,--,--,--
Rodenticides,,,,,,,,,,,,
Zinc phosphide,3.92,3.85,4,--,--,--,--,--,--,12.12,12.12,--
Coumatetralyl,--,--,--,--,--,--,--,--,--,3.03,3.03,--
Fungicide,,,,,,,,,,,,
Copper hydroxide,--,--,--,--,--,--,10,11.63,5.88,12.12,12.12,--
Edifenphos,7.84,3.85,12,--,--,--,--,--,--,--,--,--
Dimethomorph,--,--,--,4.55,4.76,--,--,--,--,--,--,--
Copper oxide,--,--,--,4.55,4.76,--,--,--,--,--,--,--
Mancozeb,--,--,--,--,--,--,3.33,4.65,--,--,--,--
Thiophanate methyl,--,--,--,--,--,--,--,--,--,3.03,3.03,--
Herbicides,,,,,,,,,,,,
Butachlor,--,--,--,--,--,--,30,37.21,11.76,24.24,24.24,--
"Butachlor + 2,4-D IBE",--,--,--,--,--,--,26.67,23.26,35.29,--,--,--
"2,4-D IBE",--,--,--,--,--,--,11.67,4.65,29.41,9.09,9.09,--
Pretilachlor,--,--,--,--,--,--,8.33,4.65,17.65,9.09,9.09,--
Bispyribac sodium,--,--,--,--,--,--,6.67,2.33,17.65,--,--,--
Glufosinate ammonium,--,--,--,--,--,--,--,--,--,3.03,3.03,--
Oriental Mindoro,Jul-Dec 2006 harvest,,,Jan-Jun 2007 harvest,,,Jul-Dec 2011 harvest,,,Jan-Jun 2012 harvest,,
Active Ingredients*,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED
,(n = 72),(n = 60),(n = 12),(n = 65),(n = 62),(n = 3),(n = 81),(n = 72),(n = 9),(n = 84),(n = 69),(n = 15)
,(Percent of farmers),,,,,,,,,,,
Herbicides,,,,,,,,,,,,
Bispyribac sodium,--,--,--,--,--,--,25.93,23.61,44.44,21.43,21.74,20
Pretilachlor,--,--,--,--,--,--,20.99,18.06,44.44,21.43,18.84,33.33
Butachlor,--,--,--,--,--,--,19.75,22.22,--,20.24,18.84,26.67
"2,4-D IBE",--,--,--,--,--,--,12.35,13.89,--,15.48,15.94,13.33
"Butachlor + 2,4-D IBE",--,--,--,--,--,--,13.58,15.28,--,13.1,14.49,6.67
"2,4-Damine",--,--,--,1.54,1.61,--,8.64,8.33,11.11,5.95,5.8,6.67
Fenoxaprop p-ethyl,--,--,--,--,--,--,8.64,9.72,--,3.57,4.35,--
Butachlor + propanil,--,--,--,--,--,--,6.17,6.94,--,3.57,4.35,--
MCPA,--,--,--,--,--,--,3.7,4.17,--,1.19,1.45,--
Penoxsulam+cyhalofop-butyl,--,--,--,--,--,--,4.94,5.56,--,--,--,--
Insecticides,,,,,,,,,,,,
Cypermethrin,58.33,58.33,58.33,96.92,96.77,100,70.37,69.44,77.78,77.38,76.81,80
Chlorpyrifos + BPMC,16.67,20,--,21.54,22.58,--,14.81,16.67,--,13.1,14.49,6.67
Lambdacyhalothrin,12.5,15,--,7.69,8.06,--,20.99,23.61,--,3.57,4.35,--
Betacypermethrin,--,--,--,1.54,1.61,--,9.88,11.11,--,9.52,10.14,6.67
Imazalil,15.28,15,16.67,--,--,--,--,--,--,--,--,--
Chlorpyrifos,--,--,--,4.62,4.84,--,6.17,6.94,--,2.38,1.45,6.67
Chlorpyrifos + cypermthrin,6.94,8.33,--,1.54,1.61,--,--,--,--,--,--,--
Cartap hydrochloride,--,--,--,--,--,--,2.47,2.78,--,2.38,1.45,6.67
BPMC,2.78,3.33,--,1.54,1.61,--,--,--,--,1.19,1.45,--
Carbofuran,2.78,3.33,--,1.54,1.61,--,1.23,1.39,--,--,--,--
Methomyl,--,--,--,--,--,--,1.23,1.39,--,3.57,4.35,--
Imidacloprid+beta+cyfluthrin,--,--,--,--,--,--,2.47,2.78,--,2.38,2.9,--
Deltamethrin,--,--,--,--,--,--,--,--,--,2.38,1.45,6.67
Temephos,1.39,--,8.33,--,--,--,--,--,--,--,--,--
Betacyfluthrin,4.17,5,--,--,--,--,--,--,--,--,--,--
Molluscicides,,,,,,,,,,,,
Metaldehyde,16.67,15,25,20,19.35,33.33,--,--,--,39.29,39.13,40
Niclosamide,26.39,26.67,25,--,--,--,--,--,--,34.52,33.33,40
Niclosamide ethanolamine salt,--,--,--,18.46,19.35,--,--,--,--,23.81,26.09,13.33
Methyldehyde + niclosamide,2.78,3.33,--,--,--,--,--,--,--,--,--,--
Rodenticides,,,,,,,,,,,,
Zinc phosphide,12.5,11.67,16.67,16.92,17.74,--,19.75,19.44,22.22,23.81,20.29,40
Coumatetralyl,1.39,1.67,--,--,--,--,3.7,4.17,--,4.76,4.35,6.67
Fungicide,,,,,,,,,,,,
Copper hydroxide,1.39,--,8.33,--,--,--,2.47,2.78,--,1.19,1.45,--
Edifenphos,2.78,1.67,8.33,--,--,--,1.23,1.39,--,--,--,--
Imazalil,4.17,5,--,--,--,--,--,--,--,--,--,--
Difenoconazole + propiconazole,--,--,--,1.54,1.61,--,2.47,2.78,--,--,--,--
