Philippines,Jul-Dec 2006 harvest,,,Jan-Jun 2007 harvest,,,Jul-Dec 2011 harvest,,,Jan-Jun 2012 harvest,,
Albay,Jul-Dec 2006 harvest,,,Jan-Jun 2007 harvest,,,Jul-Dec 2011 harvest,,,Jan-Jun 2012 harvest,,
Active Ingredients*,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED
,(n = 37),(n = 27),(n = 10),(n = 35),(n = 17),(n = 18),(n = 46),(n = 40),(n = 6),(n = 53),(n = 45),(n = 8)
,(Percent of farmers),,,,,,,,,,,
Insecticides,,,,,,,,,,,,
Cypermethrin,43.24,40.74,50,60,70.59,50,63.04,65,50,56.6,62.22,25
Lambdacyhalothrin,45.95,44.44,50,45.71,58.82,33.33,32.61,30,50,1.89,2.22,--
Methomyl,--,--,--,17.14,5.88,27.78,--,--,--,--,--,--
Deltamethrin,5.41,7.41,--,--,--,--,6.52,7.5,--,--,--,--
Betacypermethrin,--,--,--,--,--,--,2.17,2.5,--,3.77,4.44,--
Malathion,5.41,7.41,--,--,--,--,--,--,--,--,--,--
Diazinon,--,--,--,2.86,5.88,--,--,--,--,--,--,--
Molluscicides,,,,,,,,,,,,
Niclosamide ethanolamine salt,--,--,--,--,--,--,--,--,--,20.75,24.44,--
Metaldehyde,--,--,--,--,--,--,--,--,--,13.21,15.56,--
Niclosamide,2.7,3.7,--,--,--,--,--,--,--,1.89,2.22,--
Methyldehyde + niclosamide,--,--,--,2.86,5.88,--,--,--,--,--,--,--
Herbicides,,,,,,,,,,,,
"2,4-D IBE",--,--,--,--,--,--,15.22,17.5,--,7.55,8.89,--
Butachlor,--,--,--,--,--,--,8.7,10,--,7.55,8.89,--
Pretilachlor,--,--,--,--,--,--,2.17,2.5,--,1.89,2.22,--
"Butachlor + 2,4-D IBE",--,--,--,--,--,--,2.17,2.5,--,1.89,2.22,--
Rodenticides,,,,,,,,,,,,
Zinc phosphide,--,--,--,--,--,--,--,--,--,11.32,13.33,--
Camarines Sur,Jul-Dec 2006 harvest,,,Jan-Jun 2007 harvest,,,Jul-Dec 2011 harvest,,,Jan-Jun 2012 harvest,,
Active Ingredients*,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED
,(n = 81),(n = 63),(n = 18),(n = 73),(n = 69),(n = 4),(n = 112),(n = 85),(n = 27),(n = 113),(n = 75),(n = 38)
,(Percent of farmers),,,,,,,,,,,
Insecticides,,,,,,,,,,,,
Cypermethrin,41.98,36.51,61.11,52.05,49.28,100,66.96,71.76,51.85,71.68,78.67,57.89
Lambdacyhalothrin,25.93,30.16,11.11,31.51,33.33,--,30.36,25.88,44.44,15.93,20,7.89
Chlorpyrifos + BPMC,2.47,3.17,--,16.44,15.94,25,5.36,7.06,--,4.42,4,5.26
Betacypermethrin,4.94,1.59,16.67,2.74,2.9,--,9.82,7.06,18.52,4.42,2.67,7.89
Carbofuran,7.41,7.94,5.56,6.85,7.25,--,3.57,4.71,--,9.73,9.33,10.53
Phentoate + BPMC,3.7,3.17,5.56,9.59,10.14,--,1.79,2.35,--,2.65,4,--
Malathion,1.23,1.59,--,1.37,1.45,--,4.46,5.88,--,3.54,2.67,5.26
Deltamethrin,1.23,1.59,--,5.48,5.8,--,--,--,--,1.77,1.33,2.63
Imazalil,7.41,9.52,--,--,--,--,--,--,--,--,--,--
Betacyfluthrin,1.23,1.59,--,2.74,2.9,--,--,--,--,1.77,1.33,2.63
Imidacloprid+beta+cyfluthrin,--,--,--,--,--,--,2.68,3.53,--,2.65,2.67,2.63
Cartap hydrochloride,--,--,--,--,--,--,1.79,2.35,--,2.65,4,--
Chlorpyrifos,--,--,--,--,--,--,--,--,--,2.65,1.33,5.26
Hydramethylnon,--,--,--,--,--,--,3.57,4.71,--,--,--,--
Isopropyl alcohol,--,--,--,--,--,--,0.89,--,3.7,0.88,--,2.63
Fipronil,--,--,--,1.37,1.45,--,--,--,--,0.88,--,2.63
Molluscicides,,,,,,,,,,,,
Metaldehyde,18.52,20.63,11.11,15.07,14.49,25,--,--,--,17.7,13.33,26.32
Niclosamide ethanolamine salt,--,--,--,13.7,13.04,25,--,--,--,8.85,8,10.53
Niclosamide,14.81,19.05,--,2.74,2.9,--,--,--,--,10.62,4,23.68
Rodenticides,,,,,,,,,,,,
Zinc phosphide,2.47,1.59,5.56,--,--,--,8.04,4.71,18.52,1.77,--,5.26
Fungicide,,,,,,,,,,,,
Thiophanate methyl,--,--,--,5.48,5.8,--,--,--,--,--,--,--
Copper hydroxide,2.47,3.17,--,1.37,1.45,--,--,--,--,0.88,1.33,--
Herbicides,,,,,,,,,,,,
"2,4-D IBE",--,--,--,--,--,--,36.61,30.59,55.56,33.63,25.33,50
Pretilachlor,--,--,--,--,--,--,40.18,41.18,37.04,30.97,37.33,18.42
Bentazone,--,--,--,--,--,--,8.04,4.71,18.52,9.73,5.33,18.42
Bispyribac sodium,--,--,--,--,--,--,11.61,14.12,3.7,8.85,6.67,13.16
Butachlor,--,--,--,--,--,--,7.14,9.41,--,12.39,16,5.26
Fenoxaprop p-ethyl,--,--,--,--,--,--,7.14,7.06,7.41,1.77,1.33,2.63
Butachlor + propanil,--,--,--,--,--,--,3.57,2.35,7.41,3.54,2.67,5.26
Cyhalofop butyl,--,--,--,--,--,--,4.46,3.53,7.41,1.77,--,5.26
Pyribenzoxim,--,--,--,--,--,--,2.68,3.53,--,1.77,2.67,--
Glyphosate IPA,--,--,--,--,--,--,--,--,--,2.65,4,--
Oxadiazon,--,--,--,--,--,--,1.79,2.35,--,0.88,1.33,--
Iloilo,Jul-Dec 2006 harvest,,,Jan-Jun 2007 harvest,,,Jul-Dec 2011 harvest,,,Jan-Jun 2012 harvest,,
Active Ingredients*,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED
,(n = 81),(n = 38),(n = 43),(n = 33),(n = 21),(n = 12),(n = 114),(n = 61),(n = 53),(n = 57),(n = 28),(n = 29)
,(Percent of farmers),,,,,,,,,,,
Insecticides,,,,,,,,,,,,
Cypermethrin,79.01,78.95,79.07,81.82,100,50,79.82,68.85,92.45,64.91,71.43,58.62
Betacypermethrin,9.88,10.53,9.3,18.18,9.52,33.33,25.44,31.15,18.87,17.54,17.86,17.24
Lambdacyhalothrin,8.64,7.89,9.3,9.09,4.76,16.67,21.05,26.23,15.09,8.77,7.14,10.34
Chlorpyrifos + BPMC,4.94,--,9.3,--,--,--,7.89,4.92,11.32,12.28,7.14,17.24
Cartap hydrochloride,4.94,2.63,6.98,3.03,4.76,--,4.39,6.56,1.89,8.77,10.71,6.9
Phentoate + BPMC,--,--,--,6.06,4.76,8.33,6.14,4.92,7.55,1.75,--,3.45
Isoprocarb,1.23,2.63,--,--,--,--,3.51,4.92,1.89,7.02,14.29,--
Imazalil,11.11,13.16,9.3,--,--,--,--,--,--,--,--,--
Methomyl,--,--,--,--,--,--,3.51,1.64,5.66,7.02,3.57,10.34
BPMC,3.7,5.26,2.33,--,--,--,--,--,--,3.51,3.57,3.45
Carbaryl,--,--,--,--,--,--,4.39,1.64,7.55,1.75,--,3.45
Deltamethrin,--,--,--,--,--,--,4.39,1.64,7.55,1.75,--,3.45
MIPC,--,--,--,--,--,--,2.63,4.92,--,3.51,--,6.9
Chlorpyrifos,--,--,--,--,--,--,0.88,--,1.89,3.51,--,6.9
Fenthion,--,--,--,--,--,--,0.88,1.64,--,3.51,7.14,--
Mn-Zn ethylene bisdithiocarbamate,--,--,--,--,--,--,1.75,--,3.77,1.75,3.57,--
Chlorpyrifos + cypermthrin,--,--,--,--,--,--,2.63,--,5.66,--,--,--
Thiamethoxam,--,--,--,--,--,--,0.88,--,1.89,1.75,3.57,--
Imidacloprid+beta+cyfluthrin,--,--,--,--,--,--,0.88,--,1.89,1.75,--,3.45
Ethofenprox,--,--,--,--,--,--,0.88,1.64,--,1.75,3.57,--
Buprofezin + MIPC,--,--,--,3.03,4.76,--,--,--,--,--,--,--
Molluscicides,,,,,,,,,,,,
Niclosamide ethanolamine salt,4.94,7.89,2.33,12.12,14.29,8.33,--,--,--,38.6,35.71,41.38
Metaldehyde,6.17,5.26,6.98,3.03,4.76,--,--,--,--,19.3,17.86,20.69
Niclosamide,14.81,18.42,11.63,9.09,14.29,--,--,--,--,1.75,3.57,--
Fungicide,,,,,,,,,,,,
Copper hydroxide,--,--,--,--,--,--,9.65,9.84,9.43,5.26,3.57,6.9
Mancozeb,--,--,--,3.03,--,8.33,11.4,18.03,3.77,--,--,--
Benomyl,1.23,2.63,--,--,--,--,1.75,3.28,--,--,--,--
Rodenticides,,,,,,,,,,,,
Zinc phosphide,--,--,--,6.06,4.76,8.33,13.16,3.28,24.53,14.04,21.43,6.9
Coumatetralyl,--,--,--,3.03,4.76,--,6.14,3.28,9.43,5.26,3.57,6.9
Herbicides,,,,,,,,,,,,
"2,4-D IBE",--,--,--,--,--,--,22.81,14.75,32.08,31.58,21.43,41.38
Bispyribac sodium,--,--,--,--,--,--,25.44,22.95,28.3,19.3,28.57,10.34
Pretilachlor,--,--,--,--,--,--,19.3,18.03,20.75,19.3,14.29,24.14
Butachlor + propanil,--,--,--,--,--,--,15.79,18.03,13.21,22.81,21.43,24.14
Butachlor + safener,--,--,--,--,--,--,9.65,18.03,--,14.04,17.86,10.34
Oxadiazon,--,--,--,--,--,--,8.77,3.28,15.09,10.53,7.14,13.79
MCPA,--,--,--,--,--,--,8.77,6.56,11.32,8.77,10.71,6.9
Fenoxaprop p-ethyl,--,--,--,--,--,--,10.53,13.11,7.55,5.26,7.14,3.45
Pyribenzoxim,--,--,--,--,--,--,7.89,14.75,--,7.02,7.14,6.9
Cyhalofop butyl,--,--,--,--,--,--,2.63,1.64,3.77,5.26,--,10.34
Butachlor,--,--,--,--,--,--,--,--,--,5.26,7.14,3.45
Bohol,Jul-Dec 2006 harvest,,,Jan-Jun 2007 harvest,,,Jul-Dec 2011 harvest,,,Jan-Jun 2012 harvest,,
Active Ingredients*,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED
,(n = 46),(n = 12),(n = 34),(n = 17),(n = 8),(n = 9),(n = 52),(n = 17),(n = 35),(n = 64),(n = 20),(n = 44)
,(Percent of farmers),,,,,,,,,,,
Insecticides,,,,,,,,,,,,
Lambdacyhalothrin,50,83.33,38.24,17.65,12.5,22.22,50,58.82,45.71,21.88,30,18.18
Cypermethrin,34.78,8.33,44.12,58.82,62.5,55.56,32.69,35.29,31.43,23.44,--,34.09
Deltamethrin,6.52,8.33,5.88,11.76,--,22.22,11.54,11.76,11.43,20.31,15,22.73
Malathion,--,--,--,--,--,--,5.77,5.88,5.71,4.69,5,4.55
Methomyl,--,--,--,--,--,--,5.77,--,8.57,6.25,--,9.09
Betacypermethrin,--,--,--,--,--,--,1.92,--,2.86,4.69,--,6.82
Pymetrozine,--,--,--,--,--,--,3.85,5.88,2.86,--,--,--
Rodenticides,,,,,,,,,,,,
Zinc phosphide,8.7,--,11.76,35.29,50,22.22,3.85,5.88,2.86,20.31,30,15.91
Coumatetralyl,4.35,--,5.88,--,--,--,1.92,--,2.86,7.81,5,9.09
Warfarin,--,--,--,--,--,--,--,--,--,1.56,5,--
Herbicides,,,,,,,,,,,,
Butachlor,--,--,--,--,--,--,13.46,5.88,17.14,10.94,--,15.91
"2,4-D IBE",--,--,--,--,--,--,9.62,--,14.29,7.81,5,9.09
Molluscicides,,,,,,,,,,,,
Metaldehyde,--,--,--,--,--,--,--,--,--,4.69,15,--
Niclosamide ethanolamine salt,--,--,--,--,--,--,--,--,--,4.69,--,6.82
Niclosamide,--,--,--,--,--,--,--,--,--,1.56,5,--
Fungicide,,,,,,,,,,,,
Ascorbic acid,--,--,--,--,--,--,--,--,--,1.56,5,--
Leyte,Jul-Dec 2006 harvest,,,Jan-Jun 2007 harvest,,,Jul-Dec 2011 harvest,,,Jan-Jun 2012 harvest,,
Active Ingredients*,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED
,(n = 65),(n = 41),(n = 24),(n = 69),(n = 49),(n = 20),(n = 76),(n = 63),(n = 13),(n = 81),(n = 67),(n = 14)
,(Percent of farmers),,,,,,,,,,,
Insecticides,,,,,,,,,,,,
Cypermethrin,30.77,31.71,29.17,60.87,57.14,70,34.21,34.92,30.77,17.28,16.42,21.43
Lambdacyhalothrin,36.92,34.15,41.67,20.29,18.37,25,27.63,22.22,53.85,9.88,8.96,14.29
Betacypermethrin,20,19.51,20.83,26.09,22.45,35,31.58,34.92,15.38,18.52,19.4,14.29
Deltamethrin,9.23,14.63,--,4.35,6.12,--,6.58,7.94,--,9.88,11.94,--
Methomyl,--,--,--,1.45,2.04,--,6.58,4.76,15.38,8.64,10.45,--
Esfenvalerate,--,--,--,--,--,--,1.32,--,7.69,8.64,5.97,21.43
Chlorpyrifos + BPMC,1.54,2.44,--,1.45,2.04,--,9.21,11.11,--,4.94,5.97,--
Cartap hydrochloride,--,--,--,--,--,--,2.63,3.17,--,3.7,4.48,--
Betacyfluthrin,1.54,2.44,--,1.45,2.04,--,1.32,1.59,--,1.23,1.49,--
Diazinon,1.54,--,4.17,--,--,--,1.32,1.59,--,1.23,1.49,--
Imidacloprid+beta+cyfluthrin,--,--,--,--,--,--,1.32,1.59,--,3.7,4.48,--
Carbofuran,--,--,--,--,--,--,--,--,--,1.23,--,7.14
Molluscicides,,,,,,,,,,,,
Niclosamide ethanolamine salt,9.23,--,25,8.7,--,30,--,--,--,17.28,11.94,42.86
Metaldehyde,10.77,14.63,4.17,10.14,14.29,--,--,--,--,22.22,25.37,7.14
Niclosamide,1.54,2.44,--,--,--,--,--,--,--,1.23,1.49,--
Rodenticides,,,,,,,,,,,,
Zinc phosphide,9.23,12.2,4.17,2.9,4.08,--,13.16,15.87,--,22.22,25.37,7.14
Fungicide,,,,,,,,,,,,
Copper hydroxide,--,--,--,--,--,--,10.53,12.7,--,1.23,1.49,--
Cupric hydroxide,--,--,--,--,--,--,--,--,--,8.64,10.45,--
Chlorothalonil,--,--,--,1.45,2.04,--,1.32,1.59,--,--,--,--
Herbicides,,,,,,,,,,,,
"2,4-D IBE",--,--,--,--,--,--,13.16,7.94,38.46,16.05,19.4,--
Butachlor,--,--,--,--,--,--,14.47,15.87,7.69,7.41,7.46,7.14
Butachlor + propanil,--,--,--,--,--,--,14.47,15.87,7.69,6.17,7.46,--
"Butachlor + 2,4-D IBE",--,--,--,--,--,--,1.32,--,7.69,3.7,4.48,--
Metsulfuron methyl +,--,--,--,--,--,--,2.63,3.17,--,1.23,1.49,--
Northern Samar,Jul-Dec 2006 harvest,,,Jan-Jun 2007 harvest,,,Jul-Dec 2011 harvest,,,Jan-Jun 2012 harvest,,
Active Ingredients*,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED
,(n = 34),(n = 20),(n = 14),(n = 37),(n = 17),(n = 20),(n = 29),(n = 22),(n = 7),(n = 34),(n = 27),(n = 7)
,(Percent of farmers),,,,,,,,,,,
Insecticides,,,,,,,,,,,,
Lambdacyhalothrin,52.94,60,42.86,67.57,41.18,90,79.31,72.73,100,--,--,--
Cypermethrin,47.06,45,50,51.35,70.59,35,13.79,18.18,--,26.47,33.33,--
Betacypermethrin,2.94,--,7.14,2.7,--,5,--,--,--,8.82,11.11,--
Deltamethrin,2.94,--,7.14,--,--,--,--,--,--,--,--,--
Chlorpyrifos + BPMC,--,--,--,--,--,--,3.45,4.55,--,--,--,--
Chlorpyrifos,--,--,--,--,--,--,--,--,--,2.94,3.7,--
Bacillus thuringiensis,--,--,--,--,--,--,--,--,--,2.94,3.7,--
Esfenvalerate,--,--,--,--,--,--,--,--,--,2.94,3.7,--
Pymetrozine,--,--,--,--,--,--,--,--,--,2.94,3.7,--
Betacyfluthrin,--,--,--,--,--,--,--,--,--,2.94,3.7,--
Rodenticides,,,,,,,,,,,,
Coumatetralyl,--,--,--,2.7,--,5,10.34,13.64,--,17.65,22.22,--
Zinc phosphide,5.88,5,7.14,2.7,5.88,--,--,--,--,--,--,--
Fungicide,,,,,,,,,,,,
Mancozeb,--,--,--,10.81,11.76,10,--,--,--,--,--,--
Imazalil,2.94,5,--,--,--,--,--,--,--,--,--,--
Herbicides,,,,,,,,,,,,
"2,4-D IBE",--,--,--,--,--,--,13.79,18.18,--,32.35,40.74,--
Butachlor,--,--,--,--,--,--,3.45,4.55,--,--,--,--
Molluscicides,,,,,,,,,,,,
Metaldehyde,--,--,--,--,--,--,--,--,--,38.24,48.15,--
Niclosamide,--,--,--,--,--,--,--,--,--,2.94,3.7,--
Zamboanga del Norte,Jul-Dec 2006 harvest,,,Jan-Jun 2007 harvest,,,Jul-Dec 2011 harvest,,,Jan-Jun 2012 harvest,,
Active Ingredients*,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED
,(n = 34),(n = 15),(n = 19),(n = 24),(n = 14),(n = 10),(n = 54),(n = 27),(n = 27),(n = 39),(n = 25),(n = 14)
,(Percent of farmers),,,,,,,,,,,
Insecticides,,,,,,,,,,,,
Cypermethrin,58.82,60,57.89,45.83,35.71,60,87.04,44.44,129.63,51.28,28,92.86
Lambdacyhalothrin,17.65,20,15.79,29.17,14.29,50,24.07,18.52,29.63,7.69,12,--
Chlorpyrifos + BPMC,14.71,33.33,--,20.83,28.57,10,18.52,18.52,18.52,7.69,12,--
Betacypermethrin,5.88,13.33,--,20.83,35.71,--,9.26,14.81,3.7,12.82,16,7.14
Betacyfluthrin,2.94,6.67,--,8.33,14.29,--,11.11,18.52,3.7,10.26,12,7.14
Diazinon,5.88,--,10.53,20.83,28.57,10,1.85,3.7,--,2.56,4,--
Cartap hydrochloride,--,--,--,12.5,21.43,--,3.7,3.7,3.7,2.56,4,--
Endosulfan,--,--,--,4.17,--,10,5.56,--,11.11,5.13,--,14.29
MIPC,--,--,--,4.17,7.14,--,7.41,3.7,11.11,5.13,8,--
Phentoate + BPMC,--,--,--,4.17,7.14,--,9.26,18.52,--,2.56,4,--
Imazalil,14.71,20,10.53,--,--,--,--,--,--,--,--,--
Fipronil,--,--,--,--,--,--,7.41,14.81,--,7.69,12,--
Deltamethrin,--,--,--,--,--,--,1.85,--,3.7,7.69,--,21.43
Carbofuran,--,--,--,--,--,--,7.41,11.11,3.7,2.56,4,--
Chlorpyrifos,--,--,--,8.33,14.29,--,1.85,3.7,--,--,--,--
Isoprocarb,--,--,--,4.17,7.14,--,1.85,3.7,--,2.56,4,--
Methomyl,--,--,--,--,--,--,--,--,--,7.69,12,--
Imidacloprid+beta+cyfluthrin,--,--,--,--,--,--,1.85,3.7,--,5.13,8,--
Chlorantrailiprole,--,--,--,--,--,--,1.85,3.7,--,5.13,8,--
Malathion,--,--,--,--,--,--,--,--,--,2.56,4,--
Triazophos,--,--,--,--,--,--,--,--,--,2.56,4,--
Bacillus thuringiensis,--,--,--,--,--,--,--,--,--,2.56,4,--
Carbosulfan,--,--,--,--,--,--,--,--,--,2.56,4,--
Lambdacyhalothrin+thiamethoxam,--,--,--,--,--,--,--,--,--,2.56,4,--
Molluscicides,,,,,,,,,,,,
Metaldehyde,14.71,33.33,--,29.17,50,--,--,--,--,20.51,28,7.14
Niclosamide,8.82,13.33,5.26,--,--,--,--,--,--,2.56,4,--
Niclosamide ethanolamine salt,--,--,--,4.17,7.14,--,--,--,--,5.13,8,--
Rodenticides,,,,,,,,,,,,
Zinc phosphide,52.94,33.33,68.42,41.67,14.29,80,50,29.63,70.37,56.41,44,78.57
Coumatetralyl,2.94,--,5.26,4.17,7.14,--,14.81,14.81,14.81,7.69,12,--
Fungicide,,,,,,,,,,,,
Mancozeb,--,--,--,12.5,21.43,--,1.85,--,3.7,5.13,8,--
Difenoconazole + propiconazole,--,--,--,4.17,7.14,--,5.56,11.11,--,2.56,4,--
Copper oxychloride,--,--,--,8.33,14.29,--,3.7,3.7,3.7,--,--,--
Imazalil,8.82,20,--,--,--,--,--,--,--,--,--,--
Edifenphos,--,--,--,4.17,7.14,--,--,--,--,--,--,--
Cupric hydroxide,--,--,--,--,--,--,--,--,--,2.56,4,--
Herbicides,,,,,,,,,,,,
"2,4-D IBE",--,--,--,--,--,--,31.48,22.22,40.74,25.64,8,57.14
Butachlor,--,--,--,--,--,--,12.96,22.22,3.7,25.64,24,28.57
"2,4-Damine",--,--,--,--,--,--,16.67,11.11,22.22,17.95,16,21.43
Butachlor + propanil,--,--,--,--,--,--,24.07,22.22,25.93,5.13,4,7.14
Metsulfuron methyl +,--,--,--,--,--,--,--,--,--,12.82,20,--
Pretilachlor,--,--,--,--,--,--,3.7,7.41,--,7.69,12,--
Glyphosate as potassium salt,--,--,--,--,--,--,--,--,--,2.56,--,7.14
"Thiobencarb + 2,4-d",--,--,--,--,--,--,--,--,--,2.56,4,--
Zamboanga del Sur,Jul-Dec 2006 harvest,,,Jan-Jun 2007 harvest,,,Jul-Dec 2011 harvest,,,Jan-Jun 2012 harvest,,
Active Ingredients*,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED
,(n = 44),(n = 37),(n = 7),(n = 43),(n = 39),(n = 4),(n = 60),(n = 45),(n = 15),(n = 60),(n = 49),(n = 11)
,(Percent of farmers),,,,,,,,,,,
Insecticides,,,,,,,,,,,,
Cypermethrin,38.64,37.84,42.86,81.4,82.05,75,86.67,77.78,113.33,66.67,63.27,81.82
Cartap hydrochloride,36.36,32.43,57.14,30.23,33.33,--,50,55.56,33.33,53.33,46.94,81.82
Methomyl,--,--,--,--,--,--,13.33,4.44,40,10,6.12,27.27
Lambdacyhalothrin,--,--,--,4.65,5.13,--,23.33,26.67,13.33,6.67,8.16,--
Imazalil,27.27,27.03,28.57,--,--,--,--,--,--,--,--,--
Diazinon,4.55,2.7,14.29,6.98,7.69,--,6.67,6.67,6.67,8.33,10.2,--
Carbofuran,2.27,2.7,--,6.98,5.13,25,--,--,--,--,--,--
Betacyfluthrin,--,--,--,2.33,2.56,--,5,--,20,1.67,2.04,--
Endosulfan,11.36,13.51,--,2.33,2.56,--,--,--,--,1.67,2.04,--
Imidacloprid+beta+cyfluthrin,--,--,--,--,--,--,3.33,4.44,--,5,2.04,18.18
Betacypermethrin,4.55,5.41,--,6.98,7.69,--,3.33,4.44,--,--,--,--
Chlorpyrifos + BPMC,--,--,--,2.33,2.56,--,3.33,4.44,--,6.67,8.16,--
Niclosamide,--,--,--,2.33,--,25,--,--,--,--,--,--
Chlorpyrifos + cypermthrin,4.55,2.7,14.29,2.33,2.56,--,--,--,--,--,--,--
Deltamethrin,2.27,2.7,--,4.65,5.13,--,1.67,2.22,--,--,--,--
Chlorantrailiprole,--,--,--,--,--,--,1.67,--,6.67,3.33,4.08,--
Malathion,--,--,--,--,--,--,--,--,--,5,6.12,--
Ethofenprox,2.27,2.7,--,--,--,--,1.67,2.22,--,--,--,--
Molluscicides,,,,,,,,,,,,
Metaldehyde,2.27,--,14.29,--,--,--,--,--,--,18.33,12.24,45.45
Niclosamide,2.27,2.7,--,--,--,--,--,--,--,11.67,12.24,9.09
Niclosamide ethanolamine salt,2.27,2.7,--,6.98,7.69,--,--,--,--,--,--,--
Rodenticides,,,,,,,,,,,,
Zinc phosphide,13.64,13.51,14.29,30.23,30.77,25,70,73.33,60,80,83.67,63.64
Coumatetralyl,4.55,5.41,--,4.65,5.13,--,11.67,8.89,20,3.33,2.04,9.09
Fungicide,,,,,,,,,,,,
Difenoconazole + propiconazole,--,--,--,--,--,--,21.67,17.78,33.33,8.33,6.12,18.18
Copper hydroxide,--,--,--,2.33,2.56,--,8.33,8.89,6.67,3.33,2.04,9.09
Imazalil,--,--,--,2.33,--,25,--,--,--,--,--,--
Mancozeb,--,--,--,4.65,5.13,--,3.33,4.44,--,--,--,--
Thiophanate methyl,--,--,--,4.65,5.13,--,1.67,2.22,--,--,--,--
