Philippines,Jul-Dec 2006 harvest,,,Jan-Jun 2007 harvest,,,Jul-Dec 2011 harvest,,,Jan-Jun 2012 harvest,,
Edifenphos,2.27,2.7,--,2.33,2.56,--,--,--,--,--,--,--
Herbicides,,,,,,,,,,,,
"Butachlor + 2,4-D IBE",--,--,--,--,--,--,93.33,88.89,106.67,88.33,87.76,90.91
"2,4-D IBE",--,--,--,--,--,--,35,33.33,40,36.67,42.86,9.09
Bispyribac sodium,--,--,--,--,--,--,--,--,--,8.33,2.04,36.36
"Thiobencarb + 2,4-d",--,--,--,--,--,--,--,--,--,6.67,6.12,9.09
Zamboanga Sibugay,Jul-Dec 2006 harvest,,,Jan-Jun 2007 harvest,,,Jul-Dec 2011 harvest,,,Jan-Jun 2012 harvest,,
Active Ingredients*,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED
,(n = 21),(n = 4),(n = 17),(n = 13),(n = 3),(n = 10),(n = 25),(n = 9),(n = 16),(n = 25),(n = 6),(n = 19)
,(Percent of farmers),,,,,,,,,,,
Insecticides,,,,,,,,,,,,
Cypermethrin,57.14,50,58.82,69.23,33.33,80,84,111.11,68.75,100,100,100
Lambdacyhalothrin,9.52,--,11.76,7.69,--,10,52,44.44,56.25,28,50,21.05
Cartap hydrochloride,9.52,--,11.76,--,--,--,36,44.44,31.25,32,66.67,21.05
Chlorpyrifos + BPMC,9.52,25,5.88,15.38,33.33,10,12,11.11,12.5,12,33.33,5.26
Diazinon,23.81,--,29.41,15.38,33.33,10,--,--,--,8,16.67,5.26
Chlorpyrifos,4.76,--,5.88,15.38,--,20,12,--,18.75,8,--,10.53
Malathion,9.52,25,5.88,7.69,33.33,--,--,--,--,--,--,--
Methomyl,--,--,--,--,--,--,16,11.11,18.75,12,--,15.79
Endosulfan,4.76,25,--,--,--,--,12,11.11,12.5,--,--,--
Phentoate + BPMC,--,--,--,--,--,--,8,--,12.5,12,16.67,10.53
Imazalil,14.29,25,11.76,--,--,--,--,--,--,--,--,--
Deltamethrin,4.76,--,5.88,--,--,--,4,--,6.25,8,--,10.53
Imidacloprid+beta+cyfluthrin,--,--,--,--,--,--,4,11.11,--,4,16.67,--
Isoprocarb,4.76,25,--,--,--,--,--,--,--,--,--,--
BPMC,4.76,25,--,--,--,--,--,--,--,--,--,--
Thiamethoxam,--,--,--,--,--,--,4,--,6.25,8,--,10.53
Carbofuran,--,--,--,--,--,--,4,--,6.25,4,--,5.26
Chlorpyrifos + cypermthrin,--,--,--,7.69,--,10,--,--,--,--,--,--
Betacypermethrin,4.76,--,5.88,--,--,--,--,--,--,--,--,--
Ethofenprox,--,--,--,--,--,--,4,--,6.25,--,--,--
MIPC,--,--,--,--,--,--,4,--,6.25,--,--,--
Triazophos,--,--,--,--,--,--,--,--,--,4,--,5.26
Molluscicides,,,,,,,,,,,,
Metaldehyde,4.76,--,5.88,--,--,--,--,--,--,72,66.67,73.68
Niclosamide,--,--,--,7.69,--,10,--,--,--,8,16.67,5.26
Imazalil,9.52,--,11.76,--,--,--,--,--,--,--,--,--
Rodenticides,,,,,,,,,,,,
Zinc phosphide,23.81,25,23.53,46.15,33.33,50,80,88.89,75,68,66.67,68.42
Coumatetralyl,--,--,--,--,--,--,4,--,6.25,4,--,5.26
Fungicide,,,,,,,,,,,,
Difenoconazole + propiconazole,--,--,--,--,--,--,4,--,6.25,24,16.67,26.32
Copper hydroxide,9.52,25,5.88,--,--,--,4,--,6.25,4,--,5.26
Thiophanate methyl,--,--,--,--,--,--,4,11.11,--,4,16.67,--
Imazalil,9.52,--,11.76,--,--,--,--,--,--,--,--,--
Chlorothalonil,4.76,--,5.88,--,--,--,--,--,--,--,--,--
Unidentified,--,--,--,--,--,--,4,--,6.25,--,--,--
Copper oxychloride,--,--,--,--,--,--,--,--,--,4,--,5.26
Cupric hydroxide,--,--,--,--,--,--,--,--,--,4,--,5.26
Herbicides,,,,,,,,,,,,
"2,4-D IBE",--,--,--,--,--,--,52,33.33,62.5,44,33.33,47.37
Oxadiazon,--,--,--,--,--,--,24,44.44,12.5,12,16.67,10.53
"Butachlor + 2,4-D IBE",--,--,--,--,--,--,24,33.33,18.75,16,--,21.05
Pretilachlor,--,--,--,--,--,--,4,11.11,--,8,33.33,--
Butachlor,--,--,--,--,--,--,12,--,18.75,8,--,10.53
Pyribenzoxim,--,--,--,--,--,--,--,--,--,4,16.67,--
Metsulfuron methyl +,--,--,--,--,--,--,--,--,--,4,16.67,--
Butachlor + safener,--,--,--,--,--,--,4,11.11,--,--,--,--
Diuron,--,--,--,--,--,--,4,--,6.25,--,--,--
"Thiobencarb + 2,4-D Ibe",--,--,--,--,--,--,4,--,6.25,--,--,--
"Thiobencarb + 2,4-d",--,--,--,--,--,--,--,--,--,4,--,5.26
Bukidnon,Jul-Dec 2006 harvest,,,Jan-Jun 2007 harvest,,,Jul-Dec 2011 harvest,,,Jan-Jun 2012 harvest,,
Active Ingredients*,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED
,(n = 39),(n = 27),(n = 12),(n = 30),(n = 26),(n = 4),(n = 80),(n = 67),(n = 13),(n = 75),(n = 69),(n = 6)
,(Percent of farmers),,,,,,,,,,,
Insecticides,,,,,,,,,,,,
Cypermethrin,61.54,59.26,66.67,100,96.15,125,85,89.55,61.54,70.67,69.57,83.33
Lambdacyhalothrin,20.51,18.52,25,26.67,26.92,25,37.5,37.31,38.46,20,20.29,16.67
Cartap hydrochloride,10.26,14.81,--,13.33,15.38,--,25,28.36,7.69,29.33,30.43,16.67
Imazalil,66.67,77.78,41.67,--,--,--,--,--,--,--,--,--
Phentoate + BPMC,17.95,18.52,16.67,3.33,3.85,--,17.5,20.9,--,12,11.59,16.67
Diazinon,2.56,--,8.33,10,7.69,25,10,10.45,7.69,9.33,8.7,16.67
Malathion,--,--,--,10,11.54,--,3.75,2.99,7.69,10.67,10.14,16.67
Methomyl,--,--,--,--,--,--,7.5,8.96,--,16,17.39,--
Betacypermethrin,7.69,11.11,--,6.67,7.69,--,2.5,2.99,--,4,4.35,--
Imidacloprid+beta+cyfluthrin,--,--,--,--,--,--,6.25,4.48,15.38,8,8.7,--
Carbofuran,--,--,--,6.67,7.69,--,5,5.97,--,4,4.35,--
Chlorpyrifos + BPMC,--,--,--,6.67,7.69,--,3.75,4.48,--,2.67,2.9,--
Betacyfluthrin,--,--,--,--,--,--,6.25,7.46,--,5.33,5.8,--
Phenthoate + BPMC,--,--,--,10,11.54,--,--,--,--,--,--,--
MIPC,--,--,--,6.67,7.69,--,2.5,2.99,--,--,--,--
Deltamethrin,2.56,3.7,--,--,--,--,2.5,2.99,--,2.67,2.9,--
Chlorpyrifos,2.56,3.7,--,--,--,--,2.5,2.99,--,1.33,1.45,--
Unidentified,--,--,--,--,--,--,5,5.97,--,--,--,--
Lambacyhalothrin,--,--,--,--,--,--,1.25,--,7.69,--,--,--
Lambdacyhalothrin+thiamethoxam,--,--,--,--,--,--,1.25,--,7.69,--,--,--
Phenthoate,--,--,--,3.33,3.85,--,--,--,--,--,--,--
Molluscicides,,,,,,,,,,,,
Niclosamide ethanolamine salt,5.13,7.41,--,13.33,15.38,--,--,--,--,17.33,17.39,16.67
Niclosamide,2.56,3.7,--,6.67,7.69,--,--,--,--,6.67,7.25,--
Metaldehyde,--,--,--,3.33,3.85,--,--,--,--,4,2.9,16.67
Imazalil,2.56,3.7,--,--,--,--,--,--,--,--,--,--
Rodenticides,,,,,,,,,,,,
Zinc phosphide,5.13,3.7,8.33,--,--,--,12.5,10.45,23.08,8,4.35,50
Coumatetralyl,--,--,--,--,--,--,3.75,2.99,7.69,1.33,--,16.67
Fungicide,,,,,,,,,,,,
Copper hydroxide,5.13,3.7,8.33,--,--,--,7.5,8.96,--,5.33,5.8,--
Difenoconazole + propiconazole,--,--,--,--,--,--,5,5.97,--,4,4.35,--
Tebuconazole,--,--,--,--,--,--,--,--,--,1.33,--,16.67
Mancozeb,--,--,--,--,--,--,2.5,1.49,7.69,--,--,--
Chlorothalonil,--,--,--,--,--,--,1.25,1.49,--,4,4.35,--
Thiophanate methyl,--,--,--,3.33,3.85,--,--,--,--,1.33,1.45,--
Edifenphos,--,--,--,--,--,--,1.25,--,7.69,--,--,--
Benomyl,--,--,--,--,--,--,1.25,--,7.69,--,--,--
Herbicides,,,,,,,,,,,,
Butachlor + propanil,--,--,--,--,--,--,45,49.25,23.08,41.33,42.03,33.33
"2,4-D IBE",--,--,--,--,--,--,30,25.37,53.85,26.67,26.09,33.33
Bispyribac sodium,--,--,--,--,--,--,13.75,13.43,15.38,5.33,5.8,--
Oxadiazon,--,--,--,--,--,--,10,10.45,7.69,10.67,11.59,--
Butachlor,--,--,--,--,--,--,--,--,--,6.67,5.8,16.67
Pyribenzoxim,--,--,--,--,--,--,3.75,2.99,7.69,4,4.35,--
Pendimethalin,--,--,--,--,--,--,--,--,--,1.33,--,16.67
Fenoxaprop p-ethyl,--,--,--,--,--,--,1.25,1.49,--,5.33,5.8,--
Glyphosate di-ammonium salt,--,--,--,--,--,--,1.25,--,7.69,--,--,--
Davao de Oro,Jul-Dec 2006 harvest,,,Jan-Jun 2007 harvest,,,Jul-Dec 2011 harvest,,,Jan-Jun 2012 harvest,,
Active Ingredients*,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED
,(n = 10),(n = 10),(n = 0),(n = 12),(n = 12),(n = 0),(n = 26),(n = 22),(n = 4),(n = 25),(n = 20),(n = 5)
,(Percent of farmers),,,,,,,,,,,
Insecticides,,,,,,,,,,,,
Cypermethrin,110,110,--,175,175,--,111.54,113.64,100,116,115,120
Methomyl,--,--,--,--,--,--,30.77,31.82,25,28,30,20
Cartap hydrochloride,10,10,--,8.33,8.33,--,11.54,9.09,25,16,10,40
Betacypermethrin,10,10,--,8.33,8.33,--,7.69,4.55,25,8,--,40
Lambdacyhalothrin,10,10,--,16.67,16.67,--,11.54,13.64,--,12,15,--
Imazalil,50,50,--,--,--,--,--,--,--,--,--,--
Deltamethrin,10,10,--,--,--,--,19.23,22.73,--,8,10,--
Chlorpyrifos + BPMC,10,10,--,--,--,--,7.69,9.09,--,12,10,20
Ethofenprox,--,--,--,--,--,--,11.54,4.55,50,--,--,--
Chlorpyrifos,10,10,--,8.33,8.33,--,--,--,--,4,5,--
Thiamethoxam,--,--,--,--,--,--,11.54,9.09,25,--,--,--
Diazinon,10,10,--,--,--,--,7.69,9.09,--,--,--,--
Carbofuran,--,--,--,--,--,--,3.85,4.55,--,8,10,--
Phentoate + BPMC,--,--,--,--,--,--,7.69,9.09,--,4,5,--
Imidacloprid+beta+cyfluthrin,--,--,--,--,--,--,3.85,4.55,--,4,5,--
Phenthoate,--,--,--,8.33,8.33,--,--,--,--,--,--,--
Betacyfluthrin,--,--,--,--,--,--,--,--,--,4,5,--
Chlorantrailiprole,--,--,--,--,--,--,--,--,--,4,5,--
Unidentified,--,--,--,--,--,--,3.85,4.55,--,--,--,--
Molluscicides,,,,,,,,,,,,
Niclosamide,10,10,--,--,--,--,--,--,--,52,45,80
Niclosamide ethanolamine salt,--,--,--,25,25,--,--,--,--,32,35,20
Imazalil,10,10,--,--,--,--,--,--,--,--,--,--
Rodenticides,,,,,,,,,,,,
Zinc phosphide,20,20,--,33.33,33.33,--,38.46,36.36,50,48,45,60
Coumatetralyl,--,--,--,--,--,--,15.38,18.18,--,4,5,--
Fungicide,,,,,,,,,,,,
Mancozeb,40,40,--,16.67,16.67,--,15.38,13.64,25,8,10,--
Copper hydroxide,20,20,--,8.33,8.33,--,15.38,18.18,--,--,--,--
Difenoconazole + propiconazole,--,--,--,--,--,--,3.85,--,25,4,--,20
Difenoconazole,--,--,--,--,--,--,--,--,--,4,--,20
Cupric hydroxide,--,--,--,--,--,--,--,--,--,8,10,--
Herbicides,,,,,,,,,,,,
Butachlor + propanil,--,--,--,--,--,--,69.23,63.64,100,68,60,100
"2,4-D IBE",--,--,--,--,--,--,46.15,45.45,50,20,25,--
Bispyribac sodium,--,--,--,--,--,--,7.69,4.55,25,4,--,20
Butachlor,--,--,--,--,--,--,3.85,4.55,--,8,10,--
Pyribenzoxim,--,--,--,--,--,--,--,--,--,4,5,--
Davao del Norte,Jul-Dec 2006 harvest,,,Jan-Jun 2007 harvest,,,Jul-Dec 2011 harvest,,,Jan-Jun 2012 harvest,,
Active Ingredients*,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED
,(n = 19),(n = 19),(n = 0),(n = 18),(n = 18),(n = 0),(n = 34),(n = 34),(n = 0),(n = 34),(n = 34),(n = 0)
,(Percent of farmers),,,,,,,,,,,
Insecticides,,,,,,,,,,,,
Cypermethrin,68.42,68.42,--,105.56,105.56,--,100,100,--,91.18,91.18,--
Betacyfluthrin,10.53,10.53,--,22.22,22.22,--,11.76,11.76,--,8.82,8.82,--
Phentoate + BPMC,21.05,21.05,--,11.11,11.11,--,8.82,8.82,--,8.82,8.82,--
Imazalil,47.37,47.37,--,--,--,--,--,--,--,--,--,--
Chlorpyrifos + BPMC,5.26,5.26,--,5.56,5.56,--,11.76,11.76,--,8.82,8.82,--
Lambdacyhalothrin,--,--,--,5.56,5.56,--,14.71,14.71,--,5.88,5.88,--
Carbofuran,--,--,--,--,--,--,8.82,8.82,--,14.71,14.71,--
Chlorpyrifos,--,--,--,11.11,11.11,--,8.82,8.82,--,2.94,2.94,--
Triazophos,10.53,10.53,--,5.56,5.56,--,2.94,2.94,--,--,--,--
Diazinon,--,--,--,--,--,--,8.82,8.82,--,8.82,8.82,--
Betacypermethrin,5.26,5.26,--,5.56,5.56,--,2.94,2.94,--,2.94,2.94,--
BPMC,--,--,--,5.56,5.56,--,5.88,5.88,--,2.94,2.94,--
Chlorantrailiprole,--,--,--,--,--,--,11.76,11.76,--,--,--,--
Cartap hydrochloride,--,--,--,5.56,5.56,--,--,--,--,2.94,2.94,--
Deltamethrin,--,--,--,--,--,--,5.88,5.88,--,--,--,--
Methomyl,--,--,--,--,--,--,--,--,--,5.88,5.88,--
Esfenvalerate,--,--,--,5.56,5.56,--,--,--,--,--,--,--
Propineb,--,--,--,5.56,5.56,--,--,--,--,--,--,--
Ethofenprox,--,--,--,5.56,5.56,--,--,--,--,--,--,--
Avermectin,--,--,--,5.56,5.56,--,--,--,--,--,--,--
Molluscicides,,,,,,,,,,,,
Niclosamide,36.84,36.84,--,16.67,16.67,--,--,--,--,64.71,64.71,--
Metaldehyde,10.53,10.53,--,5.56,5.56,--,--,--,--,26.47,26.47,--
Niclosamide ethanolamine salt,--,--,--,16.67,16.67,--,--,--,--,5.88,5.88,--
Imazalil,21.05,21.05,--,--,--,--,--,--,--,--,--,--
Rodenticides,,,,,,,,,,,,
Zinc phosphide,15.79,15.79,--,22.22,22.22,--,64.71,64.71,--,26.47,26.47,--
Fungicide,,,,,,,,,,,,
Mancozeb,5.26,5.26,--,5.56,5.56,--,14.71,14.71,--,11.76,11.76,--
Chlorothalonil,5.26,5.26,--,--,--,--,11.76,11.76,--,2.94,2.94,--
Difenoconazole + propiconazole,--,--,--,--,--,--,2.94,2.94,--,2.94,2.94,--
Copper oxychloride,--,--,--,5.56,5.56,--,--,--,--,--,--,--
Thiodiazole copper,5.26,5.26,--,--,--,--,--,--,--,--,--,--
Imazalil,5.26,5.26,--,--,--,--,--,--,--,--,--,--
Copper hydroxide,5.26,5.26,--,--,--,--,--,--,--,--,--,--
Herbicides,,,,,,,,,,,,
"Butachlor + 2,4-D IBE",--,--,--,--,--,--,38.24,38.24,--,38.24,38.24,--
Butachlor,--,--,--,--,--,--,26.47,26.47,--,23.53,23.53,--
"2,4-D IBE",--,--,--,--,--,--,14.71,14.71,--,14.71,14.71,--
Butachlor + propanil,--,--,--,--,--,--,5.88,5.88,--,17.65,17.65,--
Pretilachlor,--,--,--,--,--,--,11.76,11.76,--,2.94,2.94,--
Pyribenzoxim,--,--,--,--,--,--,5.88,5.88,--,2.94,2.94,--
Butachlor + safener,--,--,--,--,--,--,2.94,2.94,--,2.94,2.94,--
Davao del Sur,Jul-Dec 2006 harvest,,,Jan-Jun 2007 harvest,,,Jul-Dec 2011 harvest,,,Jan-Jun 2012 harvest,,
Active Ingredients*,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED
,(n = 29),(n = 28),(n = 1),(n = 32),(n = 32),(n = 0),(n = 58),(n = 58),(n = 0),(n = 57),(n = 57),(n = 0)
,(Percent of farmers),,,,,,,,,,,
Insecticides,,,,,,,,,,,,
Cypermethrin,62.07,64.29,--,75,75,--,62.07,62.07,--,75.44,75.44,--
Imazalil,20.69,17.86,100,--,--,--,--,--,--,--,--,--
Chlorpyrifos + BPMC,10.34,10.71,--,15.63,15.63,--,20.69,20.69,--,19.3,19.3,--
BPMC,13.79,14.29,--,6.25,6.25,--,--,--,--,3.51,3.51,--
Diazinon,--,--,--,--,--,--,8.62,8.62,--,8.77,8.77,--
Ethofenprox,6.9,7.14,--,3.13,3.13,--,5.17,5.17,--,--,--,--
Lambdacyhalothrin,--,--,--,--,--,--,10.34,10.34,--,3.51,3.51,--
Endosulfan,--,--,--,--,--,--,3.45,3.45,--,8.77,8.77,--
Lambdacyhalothrin+thiamethoxam,--,--,--,--,--,--,6.9,6.9,--,5.26,5.26,--
Phentoate + BPMC,--,--,--,--,--,--,8.62,8.62,--,3.51,3.51,--
Chlorpyrifos,6.9,7.14,--,3.13,3.13,--,1.72,1.72,--,--,--,--
Cartap hydrochloride,--,--,--,3.13,3.13,--,5.17,5.17,--,3.51,3.51,--
Carbofuran,--,--,--,6.25,6.25,--,1.72,1.72,--,3.51,3.51,--
Deltamethrin,3.45,3.57,--,3.13,3.13,--,1.72,1.72,--,1.75,1.75,--
Methomyl,--,--,--,--,--,--,1.72,1.72,--,7.02,7.02,--
Thiamethoxam,--,--,--,3.13,3.13,--,1.72,1.72,--,1.75,1.75,--
Carbaryl,3.45,3.57,--,--,--,--,--,--,--,1.75,1.75,--
Betacyfluthrin,3.45,3.57,--,--,--,--,1.72,1.72,--,--,--,--
Phenthoate,--,--,--,--,--,--,1.72,1.72,--,3.51,3.51,--
Chlorantrailiprole,--,--,--,--,--,--,1.72,1.72,--,1.75,1.75,--
Mn-Zn ethylene bisdithiocarbamate,--,--,--,--,--,--,1.72,1.72,--,1.75,1.75,--
Mancozeb,--,--,--,--,--,--,3.45,3.45,--,--,--,--
Malathion,--,--,--,3.13,3.13,--,--,--,--,--,--,--
Molluscicides,,,,,,,,,,,,
Niclosamide ethanolamine salt,10.34,10.71,--,40.63,40.63,--,--,--,--,10.53,10.53,--
Niclosamide,10.34,10.71,--,9.38,9.38,--,--,--,--,21.05,21.05,--
Metaldehyde,10.34,10.71,--,6.25,6.25,--,--,--,--,1.75,1.75,--
Imazalil,6.9,7.14,--,--,--,--,--,--,--,--,--,--
Rodenticides,,,,,,,,,,,,
Zinc phosphide,13.79,14.29,--,25,25,--,17.24,17.24,--,14.04,14.04,--
Coumatetralyl,--,--,--,--,--,--,3.45,3.45,--,1.75,1.75,--
Fungicide,,,,,,,,,,,,
Thiophanate methyl,--,--,--,--,--,--,10.34,10.34,--,1.75,1.75,--
Mancozeb,--,--,--,--,--,--,1.72,1.72,--,7.02,7.02,--
Copper hydroxide,--,--,--,--,--,--,6.9,6.9,--,1.75,1.75,--
Edifenphos,3.45,3.57,--,--,--,--,--,--,--,--,--,--
Herbicides,,,,,,,,,,,,
"2,4-D IBE",--,--,--,--,--,--,25.86,25.86,--,33.33,33.33,--
Butachlor + safener,--,--,--,--,--,--,25.86,25.86,--,26.32,26.32,--
Butachlor + propanil,--,--,--,--,--,--,18.97,18.97,--,22.81,22.81,--
"Butachlor + 2,4-D IBE",--,--,--,--,--,--,18.97,18.97,--,14.04,14.04,--
Pyribenzoxim,--,--,--,--,--,--,6.9,6.9,--,10.53,10.53,--
Pretilachlor,--,--,--,--,--,--,5.17,5.17,--,5.26,5.26,--
Butachlor,--,--,--,--,--,--,3.45,3.45,--,1.75,1.75,--
Metsulfuron methyl +,--,--,--,--,--,--,1.72,1.72,--,1.75,1.75,--
Glyphosate IPA,--,--,--,--,--,--,3.45,3.45,--,--,--,--
Davao Oriental,Jul-Dec 2006 harvest,,,Jan-Jun 2007 harvest,,,Jul-Dec 2011 harvest,,,Jan-Jun 2012 harvest,,
Active Ingredients*,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED
,(n = 59),(n = 57),(n = 2),(n = 60),(n = 58),(n = 2),(n = 60),(n = 60),(n = 0),(n = 60),(n = 60),(n = 0)
,(Percent of farmers),,,,,,,,,,,
Insecticides,,,,,,,,,,,,
Cypermethrin,6.78,5.26,50,33.33,31.03,100,41.67,41.67,--,46.67,46.67,--
Ethofenprox,40.68,42.11,--,43.33,43.1,50,50,50,--,26.67,26.67,--
Imazalil,100,98.25,150,--,--,--,--,--,--,--,--,--
Chlorpyrifos + BPMC,22.03,22.81,--,40,39.66,50,31.67,31.67,--,50,50,--
Chlorpyrifos,23.73,24.56,--,26.67,24.14,100,31.67,31.67,--,1.67,1.67,--
BPMC,8.47,8.77,--,20,20.69,--,13.33,13.33,--,21.67,21.67,--
Thiamethoxam,--,--,--,35,36.21,--,11.67,11.67,--,3.33,3.33,--
Fipronil,--,--,--,8.33,8.62,--,18.33,18.33,--,18.33,18.33,--
Deltamethrin,8.47,8.77,--,10,10.34,--,11.67,11.67,--,13.33,13.33,--
Phentoate + BPMC,3.39,3.51,--,1.67,1.72,--,21.67,21.67,--,8.33,8.33,--
Imidacloprid,5.08,5.26,--,20,20.69,--,3.33,3.33,--,5,5,--
Cartap hydrochloride,3.39,3.51,--,6.67,6.9,--,6.67,6.67,--,11.67,11.67,--
Betacyfluthrin,11.86,12.28,--,6.67,6.9,--,1.67,1.67,--,1.67,1.67,--
Diazinon,5.08,5.26,--,1.67,1.72,--,10,10,--,3.33,3.33,--
Lambdacyhalothrin,6.78,7.02,--,--,--,--,5,5,--,3.33,3.33,--
Propineb,1.69,1.75,--,1.67,1.72,--,5,5,--,5,5,--
Betacypermethrin,--,--,--,1.67,1.72,--,5,5,--,6.67,6.67,--
Imidacloprid+beta+cyfluthrin,--,--,--,--,--,--,8.33,8.33,--,5,5,--
Carbofuran,1.69,1.75,--,1.67,1.72,--,8.33,8.33,--,--,--,--
Isoprocarb,--,--,--,3.33,3.45,--,5,5,--,3.33,3.33,--
Methomyl,--,--,--,3.33,3.45,--,--,--,--,5,5,--
Malathion,--,--,--,--,--,--,3.33,3.33,--,3.33,3.33,--
MIPC,--,--,--,5,5.17,--,--,--,--,--,--,--
Unidentified,--,--,--,--,--,--,3.33,3.33,--,--,--,--
Molluscicides,,,,,,,,,,,,
Niclosamide,52.54,54.39,--,1.67,1.72,--,--,--,--,15,15,--
Niclosamide ethanolamine salt,--,--,--,28.33,29.31,--,--,--,--,40,40,--
Methyldehyde + niclosamide,3.39,3.51,--,3.33,3.45,--,--,--,--,--,--,--
Metaldehyde,--,--,--,--,--,--,--,--,--,3.33,3.33,--
Rodenticides,,,,,,,,,,,,
Zinc phosphide,20.34,19.3,50,16.67,17.24,--,11.67,11.67,--,11.67,11.67,--
Coumatetralyl,1.69,1.75,--,--,--,--,1.67,1.67,--,--,--,--
Fungicide,,,,,,,,,,,,
Thiophanate methyl,--,--,--,25,25.86,--,28.33,28.33,--,33.33,33.33,--
Mancozeb,3.39,1.75,50,5,5.17,--,20,20,--,6.67,6.67,--
Chlorothalonil,13.56,14.04,--,10,10.34,--,8.33,8.33,--,10,10,--
Imazalil,11.86,12.28,--,--,--,--,--,--,--,--,--,--
Benomyl,6.78,7.02,--,3.33,3.45,--,1.67,1.67,--,--,--,--
Edifenphos,3.39,3.51,--,3.33,3.45,--,--,--,--,5,5,--
Difenoconazole + propiconazole,--,--,--,--,--,--,--,--,--,8.33,8.33,--
