Philippines,Jul-Dec 2006 harvest,,,Jan-Jun 2007 harvest,,,Jul-Dec 2011 harvest,,,Jan-Jun 2012 harvest,,
Thiram,--,--,--,--,--,--,6.67,6.67,--,--,--,--
Propiconazole,--,--,--,--,--,--,3.33,3.33,--,--,--,--
Copper hydroxide,--,--,--,--,--,--,3.33,3.33,--,--,--,--
Copper oxychloride,--,--,--,--,--,--,1.67,1.67,--,1.67,1.67,--
Herbicides,,,,,,,,,,,,
Butachlor,--,--,--,--,--,--,25,25,--,45,45,--
"2,4-D IBE",--,--,--,--,--,--,38.33,38.33,--,21.67,21.67,--
"Thiobencarb + 2,4-D Ibe",--,--,--,--,--,--,21.67,21.67,--,--,--,--
"Thiobencarb + 2,4-d",--,--,--,--,--,--,--,--,--,20,20,--
Pretilachlor,--,--,--,--,--,--,8.33,8.33,--,5,5,--
Bensulfuron methyl,--,--,--,--,--,--,1.67,1.67,--,6.67,6.67,--
"2,4-Damine",--,--,--,--,--,--,--,--,--,3.33,3.33,--
"Piperophos + 2,4-D IBE",--,--,--,--,--,--,1.67,1.67,--,1.67,1.67,--
Glyphosate IPA,--,--,--,--,--,--,3.33,3.33,--,--,--,--
North Cotabato,Jul-Dec 2006 harvest,,,Jan-Jun 2007 harvest,,,Jul-Dec 2011 harvest,,,Jan-Jun 2012 harvest,,
Active Ingredients*,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED
,(n = 39),(n = 29),(n = 10),(n = 28),(n = 25),(n = 3),(n = 85),(n = 59),(n = 26),(n = 67),(n = 48),(n = 19)
,(Percent of farmers),,,,,,,,,,,
Insecticides,,,,,,,,,,,,
Cypermethrin,89.74,89.66,90,167.86,168,166.67,111.76,106.78,123.08,105.97,102.08,115.79
Cartap hydrochloride,23.08,27.59,10,35.71,40,--,14.12,20.34,--,23.88,25,21.05
Diazinon,15.38,10.34,30,14.29,12,33.33,12.94,11.86,15.38,8.96,6.25,15.79
Lambdacyhalothrin,5.13,6.9,--,7.14,8,--,37.65,40.68,30.77,8.96,10.42,5.26
Imazalil,53.85,58.62,40,--,--,--,--,--,--,--,--,--
Phentoate + BPMC,5.13,6.9,--,32.14,36,--,14.12,18.64,3.85,5.97,8.33,--
Methomyl,2.56,3.45,--,--,--,--,9.41,3.39,23.08,19.4,22.92,10.53
Betacypermethrin,--,--,--,7.14,8,--,15.29,10.17,26.92,5.97,6.25,5.26
Endosulfan,7.69,10.34,--,10.71,12,--,4.71,3.39,7.69,2.99,4.17,--
Imidacloprid+beta+cyfluthrin,--,--,--,--,--,--,11.76,16.95,--,11.94,12.5,10.53
Triazophos,--,--,--,7.14,4,33.33,4.71,5.08,3.85,--,--,--
Fipronil,--,--,--,21.43,24,--,2.35,1.69,3.85,--,--,--
BPMC,7.69,6.9,10,7.14,8,--,3.53,5.08,--,1.49,2.08,--
Chlorpyrifos + BPMC,--,--,--,--,--,--,4.71,3.39,7.69,10.45,8.33,15.79
Chlorpyrifos,2.56,3.45,--,--,--,--,11.76,13.56,7.69,4.48,6.25,--
Deltamethrin,5.13,3.45,10,--,--,--,2.35,3.39,--,7.46,6.25,10.53
Carbofuran,--,--,--,3.57,4,--,8.24,8.47,7.69,4.48,6.25,--
Betacyfluthrin,2.56,--,10,--,--,--,8.24,8.47,7.69,--,--,--
Lambdacyhalothrin+thiamethoxam,--,--,--,--,--,--,4.71,6.78,--,8.96,10.42,5.26
Unidentified,--,--,--,--,--,--,9.41,6.78,15.38,--,--,--
Malathion,--,--,--,--,--,--,2.35,1.69,3.85,2.99,2.08,5.26
Thiamethoxam,--,--,--,--,--,--,4.71,6.78,--,1.49,2.08,--
Ethofenprox,--,--,--,3.57,4,--,--,--,--,--,--,--
Methamidophos,--,--,--,3.57,4,--,--,--,--,--,--,--
Phenthoate,--,--,--,--,--,--,--,--,--,1.49,--,5.26
Cypermethrin PRSD,--,--,--,--,--,--,1.18,1.69,--,1.49,2.08,--
Molluscicides,,,,,,,,,,,,
Metaldehyde,12.82,6.9,30,--,--,--,--,--,--,5.97,8.33,--
Niclosamide,17.95,24.14,--,3.57,4,--,--,--,--,4.48,4.17,5.26
Niclosamide ethanolamine salt,--,--,--,3.57,4,--,--,--,--,16.42,20.83,5.26
Methyldehyde + niclosamide,2.56,--,10,--,--,--,--,--,--,--,--,--
Rodenticides,,,,,,,,,,,,
Zinc phosphide,2.56,3.45,--,--,--,--,36.47,40.68,26.92,8.96,8.33,10.53
Coumatetralyl,--,--,--,3.57,4,--,--,--,--,--,--,--
Fungicide,,,,,,,,,,,,
Difenoconazole + propiconazole,--,--,--,--,--,--,7.06,6.78,7.69,4.48,6.25,--
Copper hydroxide,--,--,--,--,--,--,10.59,11.86,7.69,--,--,--
Mancozeb,5.13,6.9,--,--,--,--,4.71,5.08,3.85,1.49,2.08,--
Benomyl,--,--,--,--,--,--,7.06,5.08,11.54,--,--,--
Thiophanate methyl,--,--,--,--,--,--,2.35,1.69,3.85,--,--,--
Difenoconazole,--,--,--,--,--,--,1.18,1.69,--,1.49,2.08,--
Copper oxychloride,--,--,--,--,--,--,1.18,1.69,--,1.49,2.08,--
Imazalil,2.56,3.45,--,--,--,--,--,--,--,--,--,--
Herbicides,,,,,,,,,,,,
Butachlor + propanil,--,--,--,--,--,--,31.76,32.2,30.77,28.36,29.17,26.32
"2,4-D IBE",--,--,--,--,--,--,24.71,28.81,15.38,29.85,39.58,5.26
Oxadiazon,--,--,--,--,--,--,16.47,6.78,38.46,13.43,4.17,36.84
Pretilachlor,--,--,--,--,--,--,24.71,33.9,3.85,17.91,22.92,5.26
Cyhalofop butyl,--,--,--,--,--,--,9.41,8.47,11.54,19.4,10.42,42.11
Bispyribac sodium,--,--,--,--,--,--,17.65,20.34,11.54,11.94,10.42,15.79
Butachlor,--,--,--,--,--,--,5.88,6.78,3.85,8.96,6.25,15.79
Butachlor + safener,--,--,--,--,--,--,3.53,3.39,3.85,7.46,6.25,10.53
"Butachlor + 2,4-D IBE",--,--,--,--,--,--,7.06,10.17,--,5.97,6.25,5.26
Pyribenzoxim,--,--,--,--,--,--,1.18,1.69,--,2.99,2.08,5.26
Diuron,--,--,--,--,--,--,--,--,--,1.49,--,5.26
South Cotabato,Jul-Dec 2006 harvest,,,Jan-Jun 2007 harvest,,,Jul-Dec 2011 harvest,,,Jan-Jun 2012 harvest,,
Active Ingredients*,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED
,(n = 49),(n = 40),(n = 9),(n = 25),(n = 24),(n = 1),(n = 58),(n = 49),(n = 9),(n = 55),(n = 46),(n = 9)
,(Percent of farmers),,,,,,,,,,,
Insecticides,,,,,,,,,,,,
Cypermethrin,63.27,60,77.78,92,91.67,100,105.17,110.2,77.78,98.18,106.52,55.56
Cartap hydrochloride,10.2,10,11.11,16,12.5,100,25.86,24.49,33.33,12.73,13.04,11.11
Lambdacyhalothrin,12.24,5,44.44,20,20.83,--,12.07,12.24,11.11,7.27,6.52,11.11
Imazalil,28.57,25,44.44,--,--,--,--,--,--,--,--,--
Methomyl,--,--,--,--,--,--,12.07,12.24,11.11,14.55,10.87,33.33
Diazinon,8.16,5,22.22,8,8.33,--,5.17,4.08,11.11,3.64,4.35,--
Chlorpyrifos,16.33,20,--,--,--,--,8.62,10.2,--,--,--,--
Ethofenprox,4.08,5,--,16,16.67,--,5.17,6.12,--,--,--,--
Chlorpyrifos + cypermthrin,8.16,10,--,8,8.33,--,1.72,2.04,--,3.64,4.35,--
Phentoate + BPMC,--,--,--,--,--,--,8.62,8.16,11.11,7.27,8.7,--
Imidacloprid+beta+cyfluthrin,--,--,--,--,--,--,6.9,8.16,--,7.27,6.52,11.11
Cypermethrin PRSD,--,--,--,--,--,--,1.72,--,11.11,3.64,--,22.22
Malathion,2.04,2.5,--,4,4.17,--,3.45,4.08,--,3.64,2.17,11.11
Chlorpyrifos + BPMC,2.04,2.5,--,8,8.33,--,--,--,--,3.64,4.35,--
Deltamethrin,2.04,2.5,--,4,4.17,--,1.72,--,11.11,--,--,--
Fipronil,--,--,--,4,4.17,--,3.45,4.08,--,3.64,4.35,--
Carbofuran,6.12,7.5,--,4,4.17,--,--,--,--,--,--,--
BPMC,--,--,--,--,--,--,1.72,2.04,--,3.64,4.35,--
Pymetrozine,--,--,--,4,4.17,--,--,--,--,--,--,--
Rodenticides,,,,,,,,,,,,
Zinc phosphide,2.04,--,11.11,--,--,--,8.62,8.16,11.11,--,--,--
Fungicide,,,,,,,,,,,,
Mancozeb,14.29,12.5,22.22,--,--,--,1.72,2.04,--,1.82,2.17,--
Difenoconazole,--,--,--,4,4.17,--,12.07,14.29,--,1.82,2.17,--
Copper hydroxide,4.08,5,--,12,12.5,--,--,--,--,--,--,--
Cypermethrin,--,--,--,4,4.17,--,--,--,--,--,--,--
Chlorothalonil,--,--,--,--,--,--,3.45,4.08,--,--,--,--
Herbicides,,,,,,,,,,,,
Butachlor + propanil,--,--,--,4,4.17,--,67.24,67.35,66.67,80,82.61,66.67
"2,4-D IBE",--,--,--,--,--,--,18.97,18.37,22.22,10.91,10.87,11.11
Bispyribac sodium,--,--,--,--,--,--,17.24,12.24,44.44,3.64,2.17,11.11
Pyribenzoxim,--,--,--,--,--,--,6.9,8.16,--,7.27,6.52,11.11
Metsulfuron methyl +,--,--,--,--,--,--,6.9,6.12,11.11,1.82,2.17,--
"Thiobencarb + 2,4-D Ibe",--,--,--,--,--,--,3.45,--,22.22,--,--,--
Oxadiazon,--,--,--,--,--,--,5.17,6.12,--,5.45,6.52,--
Pretilachlor,--,--,--,--,--,--,8.62,10.2,--,1.82,2.17,--
Fenoxaprop p-ethyl,--,--,--,--,--,--,5.17,6.12,--,1.82,2.17,--
"Thiobencarb + 2,4-d",--,--,--,--,--,--,--,--,--,1.82,--,11.11
Diuron,--,--,--,--,--,--,1.72,--,11.11,--,--,--
Glyphosate IPA,--,--,--,--,--,--,3.45,4.08,--,--,--,--
Sultan Kudarat,Jul-Dec 2006 harvest,,,Jan-Jun 2007 harvest,,,Jul-Dec 2011 harvest,,,Jan-Jun 2012 harvest,,
Active Ingredients*,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED
,(n = 53),(n = 40),(n = 13),(n = 26),(n = 21),(n = 5),(n = 60),(n = 45),(n = 15),(n = 40),(n = 40),(n = 0)
,(Percent of farmers),,,,,,,,,,,
Insecticides,,,,,,,,,,,,
Cypermethrin,71.7,70,76.92,107.69,123.81,60,98.33,104.44,80,107.5,107.5,--
Chlorpyrifos,16.98,17.5,15.38,23.08,23.81,40,10,13.33,--,5,5,--
Cartap hydrochloride,5.66,5,7.69,3.85,4.76,--,15,20,--,20,20,--
Betacypermethrin,--,--,--,19.23,23.81,--,6.67,4.44,13.33,10,10,--
Diazinon,9.43,12.5,--,11.54,19.05,--,5,4.44,6.67,5,5,--
Imazalil,26.42,32.5,7.69,--,--,--,--,--,--,--,--,--
Imidacloprid+beta+cyfluthrin,--,--,--,--,--,--,11.67,11.11,13.33,15,15,--
Endosulfan,--,--,--,--,--,--,8.33,8.89,6.67,12.5,12.5,--
Lambdacyhalothrin,--,--,--,7.69,9.52,--,6.67,6.67,6.67,5,5,--
Phentoate + BPMC,--,--,--,--,--,--,8.33,2.22,26.67,--,--,--
Propineb,--,--,--,--,--,--,8.33,11.11,--,7.5,7.5,--
Deltamethrin,--,--,--,--,--,--,6.67,2.22,20,--,--,--
Methomyl,--,--,--,--,--,--,3.33,4.44,--,10,10,--
Chlorpyrifos + BPMC,3.77,5,--,--,--,--,1.67,2.22,--,5,5,--
Chlorpyrifos + cypermthrin,1.89,--,7.69,--,--,--,3.33,2.22,6.67,--,--,--
Cypermethrin PRSD,--,--,--,--,--,--,5,6.67,--,5,5,--
Fipronil,--,--,--,--,--,--,--,--,--,10,10,--
MIPC,--,--,--,7.69,9.52,--,--,--,--,--,--,--
Carbofuran,1.89,2.5,--,--,--,--,3.33,2.22,6.67,--,--,--
Ethofenprox,3.77,5,--,--,--,--,3.33,4.44,--,--,--,--
Unidentified,--,--,--,--,--,--,5,4.44,6.67,--,--,--
Temephos,--,--,--,3.85,4.76,--,--,--,--,--,--,--
Malathion,1.89,2.5,--,--,--,--,1.67,2.22,--,--,--,--
Molluscicides,,,,,,,,,,,,
Niclosamide ethanolamine salt,--,--,--,--,--,--,--,--,--,17.5,17.5,--
Metaldehyde,1.89,2.5,--,--,--,--,--,--,--,5,5,--
Rodenticides,,,,,,,,,,,,
Zinc phosphide,3.77,--,15.38,--,--,--,16.67,17.78,13.33,5,5,--
Fungicide,,,,,,,,,,,,
Thiophanate methyl,--,--,--,--,--,--,8.33,11.11,--,12.5,12.5,--
Difenoconazole,--,--,--,--,--,--,5,6.67,--,7.5,7.5,--
Imazalil,7.55,10,--,--,--,--,--,--,--,--,--,--
Difenoconazole + propiconazole,--,--,--,--,--,--,1.67,--,6.67,2.5,2.5,--
Cupric hydroxide,--,--,--,--,--,--,--,--,--,5,5,--
Copper hydroxide,1.89,2.5,--,--,--,--,--,--,--,2.5,2.5,--
Copper oxychloride,--,--,--,3.85,4.76,--,--,--,--,--,--,--
Herbicides,,,,,,,,,,,,
Butachlor + propanil,--,--,--,--,--,--,46.67,51.11,33.33,72.5,72.5,--
"2,4-D IBE",--,--,--,--,--,--,31.67,24.44,53.33,32.5,32.5,--
Bispyribac sodium,--,--,--,--,--,--,18.33,8.89,46.67,20,20,--
Oxadiazon,--,--,--,--,--,--,15,11.11,26.67,7.5,7.5,--
Fenoxaprop p-ethyl,--,--,--,--,--,--,5,4.44,6.67,5,5,--
Metsulfuron methyl +,--,--,--,--,--,--,3.33,4.44,--,5,5,--
Cyhalofop butyl,--,--,--,--,--,--,1.67,--,6.67,2.5,2.5,--
Butachlor,--,--,--,--,--,--,1.67,2.22,--,2.5,2.5,--
Agusan del Norte,Jul-Dec 2006 harvest,,,Jan-Jun 2007 harvest,,,Jul-Dec 2011 harvest,,,Jan-Jun 2012 harvest,,
Active Ingredients*,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED
,(n = 20),(n = 13),(n = 7),(n = 18),(n = 11),(n = 7),(n = 55),(n = 30),(n = 25),(n = 48),(n = 31),(n = 17)
,(Percent of farmers),,,,,,,,,,,
Insecticides,,,,,,,,,,,,
Cypermethrin,55,61.54,42.86,88.89,100,71.43,58.18,46.67,72,72.92,67.74,82.35
Lambdacyhalothrin,25,23.08,28.57,11.11,--,28.57,40,36.67,44,16.67,16.13,17.65
Chlorpyrifos + BPMC,15,--,42.86,--,--,--,10.91,--,24,12.5,3.23,29.41
Deltamethrin,--,--,--,5.56,--,14.29,1.82,--,4,6.25,6.45,5.88
Cartap hydrochloride,--,--,--,5.56,--,14.29,--,--,--,4.17,--,11.76
Diazinon,--,--,--,--,--,--,3.64,--,8,6.25,3.23,11.76
Betacypermethrin,--,--,--,--,--,--,5.45,6.67,4,6.25,9.68,--
Phentoate + BPMC,--,--,--,--,--,--,3.64,3.33,4,2.08,3.23,--
Methomyl,--,--,--,--,--,--,1.82,3.33,--,4.17,6.45,--
Chlorpyrifos + cypermthrin,5,7.69,--,--,--,--,--,--,--,--,--,--
Unidentified,--,--,--,--,--,--,3.64,3.33,4,--,--,--
Carbofuran,--,--,--,--,--,--,3.64,3.33,4,--,--,--
Fungicide,,,,,,,,,,,,
Copper hydroxide,5,--,14.29,--,--,--,5.45,3.33,8,2.08,3.23,--
Thiophanate methyl,10,15.38,--,--,--,--,--,--,--,2.08,3.23,--
Mancozeb,--,--,--,--,--,--,7.27,6.67,8,2.08,--,5.88
Benomyl,--,--,--,--,--,--,1.82,--,4,4.17,--,11.76
Unidentified,--,--,--,--,--,--,3.64,--,8,--,--,--
Rodenticides,,,,,,,,,,,,
Zinc phosphide,--,--,--,5.56,--,14.29,20,30,8,4.17,--,11.76
Coumatetralyl,--,--,--,11.11,--,28.57,3.64,3.33,4,2.08,3.23,--
Herbicides,,,,,,,,,,,,
"Butachlor + 2,4-D IBE",--,--,--,--,--,--,60,53.33,68,66.67,64.52,70.59
Butachlor,--,--,--,--,--,--,29.09,40,16,25,29.03,17.65
"2,4-D IBE",--,--,--,--,--,--,23.64,16.67,32,18.75,16.13,23.53
Bispyribac sodium,--,--,--,--,--,--,5.45,6.67,4,--,--,--
Molluscicides,,,,,,,,,,,,
Niclosamide ethanolamine salt,--,--,--,--,--,--,--,--,--,12.5,3.23,29.41
Agusan del Sur,Jul-Dec 2006 harvest,,,Jan-Jun 2007 harvest,,,Jul-Dec 2011 harvest,,,Jan-Jun 2012 harvest,,
Active Ingredients*,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED
,(n = 39),(n = 24),(n = 15),(n = 37),(n = 22),(n = 15),(n = 54),(n = 34),(n = 20),(n = 60),(n = 32),(n = 28)
,(Percent of farmers),,,,,,,,,,,
Insecticides,,,,,,,,,,,,
Cypermethrin,46.15,29.17,73.33,105.41,72.73,153.33,66.67,61.76,75,58.33,34.38,85.71
Lambdacyhalothrin,2.56,4.17,--,8.11,--,20,31.48,32.35,30,33.33,28.13,39.29
Cartap hydrochloride,2.56,--,6.67,24.32,27.27,20,14.81,14.71,15,11.67,18.75,3.57
Betacyfluthrin,12.82,20.83,--,13.51,22.73,--,9.26,14.71,--,10,9.38,10.71
Chlorpyrifos + BPMC,2.56,--,6.67,8.11,9.09,6.67,11.11,8.82,15,10,9.38,10.71
Imazalil,33.33,41.67,20,--,--,--,--,--,--,--,--,--
Phentoate + BPMC,5.13,8.33,--,5.41,9.09,--,9.26,11.76,5,11.67,15.63,7.14
Diazinon,5.13,4.17,6.67,8.11,9.09,6.67,1.85,--,5,5,3.13,7.14
Imidacloprid+beta+cyfluthrin,--,--,--,--,--,--,5.56,5.88,5,11.67,15.63,7.14
Betacypermethrin,7.69,8.33,6.67,2.7,--,6.67,1.85,2.94,--,1.67,--,3.57
Methomyl,--,--,--,--,--,--,1.85,--,5,8.33,6.25,10.71
Deltamethrin,--,--,--,--,--,--,1.85,2.94,--,6.67,3.13,10.71
BPMC,2.56,4.17,--,2.7,--,6.67,1.85,--,5,--,--,--
MIPC,--,--,--,2.7,4.55,--,1.85,2.94,--,--,--,--
Lambdacyhalothrin+thiamethoxam,--,--,--,--,--,--,1.85,2.94,--,1.67,--,3.57
Chlorpyrifos,--,--,--,--,--,--,3.7,5.88,--,--,--,--
Ethofenprox,2.56,--,6.67,--,--,--,--,--,--,--,--,--
Propineb,2.56,4.17,--,--,--,--,--,--,--,--,--,--
Dinotefuran,2.56,4.17,--,--,--,--,--,--,--,--,--,--
Molluscicides,,,,,,,,,,,,
Niclosamide ethanolamine salt,15.38,25,--,43.24,36.36,53.33,--,--,--,45,65.63,21.43
Metaldehyde,12.82,4.17,26.67,8.11,9.09,6.67,--,--,--,11.67,9.38,14.29
Niclosamide,2.56,4.17,--,5.41,4.55,6.67,--,--,--,18.33,15.63,21.43
Rodenticides,,,,,,,,,,,,
Zinc phosphide,23.08,29.17,13.33,18.92,22.73,13.33,46.3,38.24,60,53.33,46.88,60.71
Coumatetralyl,2.56,4.17,--,--,--,--,5.56,5.88,5,--,--,--
Fungicide,,,,,,,,,,,,
Copper hydroxide,7.69,4.17,13.33,8.11,4.55,13.33,5.56,2.94,10,5,9.38,--
Mancozeb,2.56,4.17,--,8.11,4.55,13.33,7.41,8.82,5,8.33,12.5,3.57
Thiophanate methyl,7.69,4.17,13.33,10.81,4.55,20,1.85,--,5,3.33,3.13,3.57
Difenoconazole + propiconazole,--,--,--,--,--,--,3.7,5.88,--,3.33,3.13,3.57
Sulphur,--,--,--,2.7,4.55,--,3.7,2.94,5,--,--,--
Copper oxide,--,--,--,2.7,--,6.67,--,--,--,1.67,--,3.57
Mancozeb + cymoxanil,--,--,--,--,--,--,--,--,--,3.33,--,7.14
Benomyl,--,--,--,2.7,--,6.67,--,--,--,--,--,--
Imazalil,2.56,--,6.67,--,--,--,--,--,--,--,--,--
Herbicides,,,,,,,,,,,,
"2,4-D IBE",--,--,--,--,--,--,37.04,32.35,45,31.67,21.88,42.86
Bispyribac sodium,--,--,--,--,--,--,29.63,47.06,--,23.33,31.25,14.29
Butachlor,--,--,--,--,--,--,11.11,5.88,20,35,21.88,50
"Butachlor + 2,4-D IBE",--,--,--,--,--,--,16.67,20.59,10,25,28.13,21.43
Oxadiazon,--,--,--,--,--,--,14.81,20.59,5,18.33,6.25,32.14
Fenoxaprop p-ethyl,--,--,--,--,--,--,24.07,14.71,40,1.67,--,3.57
Butachlor + propanil,--,--,--,--,--,--,11.11,11.76,10,10,12.5,7.14
Pretilachlor,--,--,--,--,--,--,5.56,8.82,--,13.33,15.63,10.71
Metsulfuron methyl +,--,--,--,--,--,--,1.85,--,5,3.33,3.13,3.57
Pyribenzoxim,--,--,--,--,--,--,1.85,2.94,--,1.67,3.13,--
"Thiobencarb + 2,4-d",--,--,--,--,--,--,--,--,--,3.33,6.25,--
Maguindanao,Jul-Dec 2006 harvest,,,Jan-Jun 2007 harvest,,,Jul-Dec 2011 harvest,,,Jan-Jun 2012 harvest,,
Active Ingredients*,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED,ALL ECOSYSTEMS,IRRIGATED,NON-IRRIGATED
,(n = 30),(n = 21),(n = 9),(n = 7),(n = 7),(n = 0),(n = 74),(n = 58),(n = 16),(n = 33),(n = 31),(n = 2)
,(Percent of farmers),,,,,,,,,,,
Insecticides,,,,,,,,,,,,
Cypermethrin,73.33,61.9,100,157.14,157.14,--,124.32,122.41,131.25,103.03,103.23,100
Methomyl,--,--,--,--,--,--,25.68,27.59,18.75,12.12,9.68,50
Chlorpyrifos,--,--,--,71.43,71.43,--,--,--,--,--,--,--
Imazalil,36.67,52.38,--,--,--,--,--,--,--,--,--,--
Cartap hydrochloride,--,--,--,--,--,--,27.03,34.48,--,6.06,6.45,--
Chlorpyrifos + BPMC,--,--,--,--,--,--,8.11,8.62,6.25,24.24,25.81,--
Cypermethrin PRSD,--,--,--,28.57,28.57,--,--,--,--,--,--,--
Fipronil,--,--,--,--,--,--,10.81,13.79,--,15.15,16.13,--
Malathion,--,--,--,--,--,--,22.97,29.31,--,--,--,--
Deltamethrin,--,--,--,--,--,--,4.05,5.17,--,15.15,16.13,--
Lambdacyhalothrin,3.33,4.76,--,--,--,--,5.41,--,25,--,--,--
Carbofuran,--,--,--,--,--,--,2.7,3.45,--,9.09,9.68,--
Imidacloprid+beta+cyfluthrin,--,--,--,--,--,--,4.05,3.45,6.25,3.03,3.23,--
Chlorpyrifos + cypermthrin,3.33,4.76,--,--,--,--,--,--,--,--,--,--
Betacyfluthrin,3.33,4.76,--,--,--,--,--,--,--,--,--,--
Endosulfan,--,--,--,--,--,--,1.35,--,6.25,--,--,--
Molluscicides,,,,,,,,,,,,
Niclosamide ethanolamine salt,3.33,4.76,--,--,--,--,--,--,--,--,--,--
Niclosamide,3.33,4.76,--,--,--,--,--,--,--,--,--,--
Rodenticides,,,,,,,,,,,,
Zinc phosphide,43.33,61.9,--,14.29,14.29,--,--,--,--,--,--,--
Fungicide,,,,,,,,,,,,
Chlorothalonil,3.33,4.76,--,--,--,--,--,--,--,21.21,22.58,--
Imazalil,6.67,9.52,--,--,--,--,--,--,--,--,--,--
Mancozeb,--,--,--,--,--,--,--,--,--,3.03,3.23,--
Herbicides,,,,,,,,,,,,
"2,4-D IBE",--,--,--,--,--,--,33.78,36.21,25,33.33,32.26,50
Glyphosate IPA,--,--,--,--,--,--,21.62,25.86,6.25,12.12,9.68,50
Bispyribac sodium,--,--,--,--,--,--,33.78,41.38,6.25,18.18,19.35,--
Butachlor + propanil,--,--,--,--,--,--,28.38,34.48,6.25,21.21,22.58,--
Butachlor + safener,--,--,--,--,--,--,2.7,1.72,6.25,15.15,16.13,--
"Butachlor + 2,4-D IBE",--,--,--,--,--,--,6.76,--,31.25,--,--,--
Oxadiazon,--,--,--,--,--,--,4.05,3.45,6.25,6.06,6.45,--
Butachlor,--,--,--,--,--,--,--,--,--,9.09,9.68,--
Cyhalofop butyl,--,--,--,--,--,--,2.7,3.45,--,--,--,--
